Rater,mae,r2,rho,rs
1,2.3182868120621665,0.1561823606491089,0.5353154916852457,0.5431928760224081
2,1.22772332721827,-0.25632543563842775,0.026856325211311826,-0.0011442986334449345
3,1.0978698908066264,-0.6831941604614258,-0.046893487979398865,-0.02115966777201621
4,1.8473844878527583,0.055080521106719973,0.32998084730880034,0.3315135413149405
5,2.03909287866281,-0.7152245283126831,0.08902555918364212,0.07978871536841958
6,2.190893781915003,-0.018686181306838988,0.38909131645636486,0.4008917554172366
7,2.0230697792403554,-0.06675174236297607,0.05862862197689067,0.06830617186798972
8,2.711486200653777,-0.6304134607315064,0.33159029498518006,0.32546656622307013
9,2.9083669139414416,-0.746415662765503,0.3441874061222652,0.37669335053413733
10,1.9757495831470098,-0.41169066429138185,0.35021692627442624,0.3190268982481801
