Rater,mae,r2,rho,rs
1,1.6973341021874937,-0.11559648513793945,0.0169172421899621,0.021112482340143086
2,2.3157863653067388,-0.03456953763961792,0.1629131504965038,0.13793972407957433
3,1.826481833120789,-0.054705649614334106,0.26835527874413095,0.21531425336772667
4,2.3212832323228474,-0.7619635105133057,-0.006019315206972689,-0.03521918060957261
5,1.7238263327666004,-0.14269003868103028,0.2616410993237942,0.24645929000278896
6,2.0151931892741812,-1.3223177433013915,0.23347994476021716,0.21904561666595349
7,1.5548899077405833,0.07139317989349366,0.3126759297143268,0.2884115683017896
8,2.1609665694862903,-0.5135357260704041,0.2215125281371622,0.2117119106662419
9,1.7474338974615542,0.046811032295227054,0.2542014191749805,0.2138187544793527
10,2.314659190900398,-2.470245671272278,0.299353971960301,0.24370437995210287
