Rater,mae,r2,rho,rs
1,2.271542727104341,-0.026924222707748413,0.3549531363247044,0.3521074070983873
2,1.7074379939924587,0.16802979707717897,0.49968756826106997,0.45884597924260123
3,1.456578038196371,0.1409250557422638,0.46623754047039745,0.4399601000486443
4,1.9986320451052504,-0.3719739198684692,0.018445942290241178,0.0013895118733712381
5,1.6134780791371761,0.03181360960006714,0.3833895111795938,0.35925778081441134
6,1.3613759015846734,0.16922351717948914,0.5090498680996417,0.48153883564937694
7,0.13633566962348093,-0.02385149598121643,,
8,1.215130166573958,0.058616364002227785,0.42200282896468266,0.41487464928857276
9,1.0719396321460455,0.3937856018543243,0.6510894316556949,0.6211035040993415
10,1.6892182242388678,-0.08047248721122742,0.329064796680085,0.33068245222673615
