Metric,Value,P-Value
MSE,0.5224989652633667,
MAE,0.5651046633720398,
Adjusted R²,0.05388455606407372,
Pearson Correlation,0.30825315918615415,0.035030570759572215
Spearman Correlation,0.17352839251000612,0.24341573462766747
