Metric,Value
R2 Score,-0.12757182152903868
Adjusted R2 Score,-0.17724458899727824
Mean Absolute Error,1.8690322246872078
Mean Squared Error,4.637209783363333
Pearson Correlation,-0.031595784061202475
Spearman Correlation,-0.022925043508462077
