Task,Painting,P1,P2,P3,P4,P5,P6,GT,AVG_P_Rating
Q1,8.jpg,4,10,3,7,5,4,4.45,5.5
Q2,22.jpg,5,10,6,9,6,9,4.18,7.5
Q3,38.jpg,7,10,6,8,7,4,4.3,7.0
Q4,184.jpg,6,10,8,4,2,3,6.95,5.5
Q5,149.jpg,6,10,1,2,1,1,4.22,3.5
