Task,P1,P2,P3,P4,P5,P6
Q11,B,A,A,A,A,A
Q12,B,A,A,A,A,A
Q13,A,A,B,B,A,A
Q14,B,B,B,B,B,B
Q15,B,A,B,A,A,B
