Case,adj_r2,r2,pearson_r,spearman_rho
Abstract_Beauty,0.04445586232022025,0.08956738813342868,0.2992781116844814,0.27584582381109596
Abstract_Liking,0.2390070786101468,0.2749337830534445,0.5243412849027287,0.48502968788747136
Representational_Beauty,0.2484872348257532,0.283367574137638,0.5323228100857955,0.5254874494169306
Representational_Liking,0.30279332821037164,0.3351531315423797,0.5789241155301614,0.6012849415460876
