N,mae,r2,rho,rs
1,4.842305310629193,-33.43481840737222,0.551550652177683,0.519496784595068
2,4.136744670293476,-20.405047656054364,0.583882497124821,0.5505500719127301
3,4.334792160905531,-22.550544069795812,0.5798599975202496,0.5401219541570667
4,4.241545264203877,-19.84458152286593,0.6164521337922618,0.5885905210316068
5,4.055027044540833,-18.42576949615974,0.6187251462002903,0.5578057583806799
6,4.241040407319157,-19.471018442072623,0.617329660317867,0.5782611096998572
7,4.068698291476318,-16.665274242587465,0.6533704833195814,0.6101301688640759
8,3.9963319075253048,-18.018664618053506,0.6207467699920262,0.5696996188570421
9,4.1756191578007344,-19.080850947735055,0.6141093868559954,0.5700745305958436
10,4.272055610793122,-19.666387997195663,0.616712451806584,0.5691704140280704
