Rater,mae,r2,rho,rs
1,1.8004522608988214,-0.2697981894016266,0.09045574406522437,0.09005281900540972
2,1.8186965400221375,0.07348941564559937,0.4675725358461283,0.4613905672741508
3,1.7365016236148698,-0.11036143898963928,0.2648041187697869,0.21416631029281513
4,2.068351339330577,-0.4058426022529602,0.0027580509208897804,-0.0005923987934917579
5,1.3955058495203654,0.06773322224617004,0.40331361173628,0.4002657412484777
6,1.0507213459773497,0.030938446521759033,0.4050037737511742,0.4207823780596972
7,1.6138220142836524,0.0563079833984375,0.36363906951201747,0.3585926261286133
8,1.6168332928358908,-0.15814870595932007,0.1713118085810054,0.1850669550787776
9,1.7967047424027414,-0.03557026982307434,0.3417875623137189,0.3309196282874372
10,1.040766944608303,-0.13598158955574036,0.19516126125193298,0.11433053231889598
