N,mae,r2,rho,rs
1,4.8427091848079815,-52.50208791321428,0.49386883525429714,0.44468458076146444
2,4.593914323859748,-43.10908529965932,0.46539620528243814,0.41857209656693684
3,4.5166691420914855,-43.680676781478724,0.5276473251420231,0.475157278220951
4,4.495782212185832,-41.23993000543071,0.5306538937438292,0.4966835614721149
5,4.546236584094913,-38.54046905686841,0.5324850311709513,0.4770336724173155
6,4.667550844581488,-42.03979785088052,0.5430816422664166,0.48145186591165673
7,4.524795603690179,-39.93446854010006,0.5258114297327116,0.46693720710316844
8,4.470045319688567,-37.26433431076039,0.5766569697103837,0.5148986428329136
9,4.566010123166275,-40.66288656868987,0.5536534685329388,0.4945047209153784
10,4.603050153196516,-40.85731176713578,0.5390227531239754,0.470347027201851
