Rater,mae,r2,rho,rs
1,1.7679252573422022,-0.057391268014907834,0.36069408109981993,0.35518512292112253
2,1.750839128056351,0.02283306121826172,0.30420516096192485,0.2905398100694412
3,1.921531105284788,-1.142899262905121,0.34484111307650256,0.3224180821806112
4,2.013109816823687,-0.15805822014808654,0.33243523034951705,0.3167600523856065
5,1.3708920354745826,0.15424646735191344,0.5514625993396219,0.5497783557365491
6,1.1857554265430994,-0.15614197850227357,0.21185603278750403,0.23450699196769267
7,1.8655866742134095,0.010084038972854615,0.4222795884997977,0.4319607226547749
8,1.9809331022963232,0.11199408173561096,0.5695153720157748,0.5700574760955996
9,2.9041527519420702,-8.892461585998536,0.4012183328123114,0.4016363619742556
10,1.5237207539227544,-1.6930501937866211,0.3940766266583189,0.378399433457404
