N,Rater,mae,r2,rho,rs
1,1,5.348411385398923,-9.414775943756103,0.040114477562599685,0.05493878371595344
1,2,4.550732139279747,-3.9713222980499268,0.44812060165789863,0.4542332249507403
1,3,4.742365262251009,-6.686691093444824,0.1845176826493366,0.17045416857765758
1,4,6.38785940693936,-10.710114765167237,0.033150167897589684,0.022228342371155146
1,5,4.319299084602884,-6.945704603195191,0.3013857540514065,0.31815404828225086
2,1,5.0509391090898506,-7.748851013183594,0.06423752934205489,0.08059387312640495
2,2,4.2185244574540794,-2.8932681560516356,0.4772171587748925,0.4736981172507376
2,3,4.558992595575524,-5.951156330108643,0.20613412101115677,0.17953419417417502
2,4,5.999003756885426,-8.886630153656006,0.021866820720571608,0.01658002654058069
2,5,4.03895482445004,-5.333214330673218,0.3540270898428286,0.3594011561372258
3,1,4.991547837561805,-7.199934339523315,0.11257443127418928,0.10346416711094124
3,2,3.9306598417235152,-2.3529364585876467,0.4857033432025938,0.4987750232506908
3,3,4.072491273767493,-4.539352893829346,0.26570539515998737,0.22157750361859047
3,4,6.164522600934061,-9.952818679809571,0.06995809656854293,0.07336945961705985
3,5,3.851780726215003,-4.715963506698609,0.419007722012681,0.40152319537163744
4,1,5.243279691367889,-8.073924112319947,0.11157355146493242,0.11266890497232149
4,2,4.197604638706855,-2.860574817657471,0.48764463432557487,0.5061892746064529
4,3,4.100941876679508,-4.463552236557007,0.24169272579564488,0.1837303553985848
4,4,6.108706079336881,-8.980551528930665,0.036756377668597504,0.03041360405675621
4,5,3.8896324887683598,-4.619692301750183,0.3586249802631781,0.3604208905889097
5,1,5.0360958238066456,-7.533804082870484,0.0520453605662732,0.04862998317877355
5,2,4.160748129706792,-2.7067352056503298,0.4734969409890365,0.4950795988842615
5,3,4.136265769141792,-4.310939693450928,0.23977585871430068,0.1951746894764606
5,4,6.300117029919467,-9.378487682342529,0.030522885877556395,0.015700436905908534
5,5,3.961352039918755,-4.864619207382202,0.37566805282112037,0.3711591890067574
6,1,5.139243761812233,-7.907450151443482,0.11201256711967462,0.10635931026381262
6,2,3.9742769943042235,-2.4179669618606567,0.506991165541548,0.5314177792572659
6,3,4.077020090739383,-4.314339256286621,0.23474494299971038,0.19253622065242404
6,4,6.243840723789551,-9.29180030822754,0.04792378323511286,0.03246683181906177
6,5,3.6879865928393123,-4.265795421600342,0.400065383495818,0.40033548940660213
7,1,4.995323491672224,-7.5584972381591795,0.07862746063156685,0.07823994956410975
7,2,3.989923898254832,-2.5308696031570435,0.4740912274364438,0.5028670965855999
7,3,4.030409798827587,-4.245080995559692,0.1783580966871247,0.14507826159665604
7,4,6.420125773878335,-10.094053363800048,-0.006897551012622289,-0.025420811724404108
7,5,3.7322463617613066,-4.106842422485352,0.3428306088548157,0.33914396131543095
8,1,5.108454413798572,-7.3175256729125975,0.07695128179821906,0.08509129564174597
8,2,3.9378980644141337,-2.3898904085159303,0.46227042051258743,0.4804794095651057
8,3,3.996069802208381,-4.085596513748169,0.2374738541954295,0.18736406227110294
8,4,6.393260683488063,-9.714996147155762,0.05782681597034117,0.058435585263079945
8,5,3.726501670312325,-4.437502002716064,0.38175108211562386,0.3759174934627779
9,1,5.1103731308489895,-7.714248180389404,0.10016827581338943,0.09715873297762094
9,2,4.015676010603254,-2.4448858737945556,0.4704445321253107,0.4845488569122326
9,3,4.134236116267063,-4.21078577041626,0.24340868713102953,0.22771075938985827
9,4,6.311622854188611,-9.895641326904297,0.04011768665711623,0.0405643401032567
9,5,3.7642145523820263,-4.4449646949768065,0.3883371919337088,0.38800017663045105
10,1,5.027718022002867,-7.516197299957275,0.10997314148123735,0.11373231617480144
10,2,4.0195114965729335,-2.5749583721160887,0.4486263494173935,0.473959768707925
10,3,4.023938721952716,-4.236255168914795,0.22572283540092725,0.19079224880285775
10,4,6.340331851818947,-9.875546169281005,0.0454568502340843,0.047109203680770886
10,5,3.770025750211995,-4.4527130126953125,0.3732946071096363,0.3659899134560729
