Rater,mae,r2,rho,rs
1,1.5959965204706,-0.052915936708450316,0.30996154489677885,0.2731766789712468
2,1.7492596143362473,-0.16585493087768555,0.20532984179533673,0.1914872975822866
3,1.4143053616796222,-0.18346887230873107,0.2421666209935633,0.2320021235832118
4,1.9115889063295053,-0.09451704025268555,0.2769504765310383,0.2605073623460533
5,1.2365677053222852,0.2893116533756256,0.590897173005599,0.5826918096625813
6,1.214610456203928,-0.17374016642570494,0.1474436678148161,0.14718296671438794
7,1.6711145248340102,0.11541165113449096,0.44889470429244216,0.4579472719392578
8,1.770585879805137,0.19017506241798401,0.510116050771751,0.5035708361810416
9,0.8404722880344002,-0.15349962711334228,0.2575310376778716,0.24994701818090417
10,0.8200325635014748,0.10290206670761108,0.42019847335825594,0.39769700507663996
