N,rho,rs
1,0.16196385687702325,0.165988099847495
2,0.1670513689747572,0.17201914925744993
3,0.16397441119573117,0.16609427715411748
4,0.1621639720331595,0.1644013295518731
5,0.17158803606147763,0.16583666132985375
6,0.1924548750822916,0.1883296549146968
7,0.1623824554031007,0.16478491729110079
8,0.16905867740238195,0.16469511167509457
9,0.1753510156237167,0.17799108728594534
10,0.17152131932022313,0.17305089568155999
