N,rho,rs
1,0.18242591539233818,0.1792538247510736
2,0.20715629722232382,0.20343812506658154
3,0.1979918678897962,0.19434405594484794
4,0.2367436132791238,0.23146808319044637
5,0.2299860687268332,0.21691246957437307
6,0.24495229663019275,0.242448516531706
7,0.2363825173236785,0.23372943900397977
8,0.20748018498094822,0.19957186993662007
9,0.23014113600520467,0.22462826893570265
10,0.23430144643425121,0.22387869228059404
