objective,metric,mean_resnet50,mean_clip-vit-b32,difference_clip-vit-b32_minus_resnet50,difference_ci95_low,difference_ci95_high,clip-vit-b32_wins_targets,target_count,higher_is_better
regression,pair_accuracy,0.7620580951744138,0.7979587019483262,0.0359006067739124,0.03349458341407327,0.03801057996842341,11,11,True
regression,mae,1.3459311718290503,1.1594876359809527,-0.18644353584809742,-0.3695433806695723,-0.08982684483582325,11,11,False
regression,r2,0.5242513605285302,0.6473333069875781,0.1230819464590479,0.11320280225406967,0.13203629151536422,11,11,True
regression,pearson,0.7446593807609435,0.809644716907098,0.06498533614615445,0.05942380847050943,0.07009320489185437,11,11,True
regression,spearman,0.7007640966827439,0.7748229324120829,0.07405883572933902,0.06835255172041908,0.07890881284592488,11,11,True
regression,kendall,0.5186168233341975,0.5886122621843872,0.06999543885018963,0.06481360867197078,0.07416179887203789,11,11,True
hinge,pair_accuracy,0.7545577333020549,0.7896369529364495,0.03507921963439471,0.03309383410760119,0.03689934777358332,11,11,True
hinge,mae,1.406946032155644,1.2389278234135022,-0.1680182087421417,-0.339436714250933,-0.07797763694010001,11,11,False
hinge,r2,0.5059138204106632,0.6119672300173191,0.106053409606656,0.10020112424192848,0.11115680137778149,11,11,True
hinge,pearson,0.7113389172807124,0.7822534381829814,0.07091452090226902,0.06655630833048751,0.07467207417944341,11,11,True
hinge,spearman,0.685380609093846,0.7614065949441926,0.07602598585034662,0.07102735458982777,0.08034416930370944,11,11,True
hinge,kendall,0.5042542089834016,0.573905769923241,0.06965156093983965,0.06539763054689167,0.07353520375712648,11,11,True
bradley_terry,pair_accuracy,0.754940764970587,0.7903928757523769,0.03545211078178982,0.03335057010177792,0.03737212980276381,11,11,True
bradley_terry,mae,1.3995915386893534,1.2181791066039693,-0.18141243208538393,-0.36683097636293266,-0.0846687943583185,11,11,False
bradley_terry,r2,0.5100380839560553,0.6222208180698575,0.1121827341138021,0.1065599008776016,0.11712687869432228,11,11,True
bradley_terry,pearson,0.7141842892931808,0.7887818949649872,0.07459760567180647,0.07015470274894746,0.07875346774219462,11,11,True
bradley_terry,spearman,0.6860844120024446,0.7624860607249994,0.07640164872255484,0.07101469159075441,0.0812085175351829,11,11,True
bradley_terry,kendall,0.5049453573014215,0.5752698629249631,0.07032450562354149,0.06580739281309621,0.07436870320268672,11,11,True
