representation,target,metric,mean_hinge,mean_bradley_terry,difference_bradley_terry_minus_hinge,bradley_terry_wins
clip-vit-b32,Color,pair_accuracy,0.7892838709677419,0.7896860215053764,0.0004021505376344825,True
clip-vit-b32,Creativity,pair_accuracy,0.7551451048951049,0.7567185314685315,0.0015734265734266284,True
clip-vit-b32,Details and texture,pair_accuracy,0.8110738031914893,0.811627659574468,0.000553856382978779,True
clip-vit-b32,Layout and composition,pair_accuracy,0.7916755319148936,0.7929208776595744,0.0012453457446808258,True
clip-vit-b32,Light and shadow,pair_accuracy,0.8080849462365591,0.8084440860215054,0.00035913978494628296,True
clip-vit-b32,Mood,pair_accuracy,0.7750039564787339,0.7752522255192877,0.00024826904055386123,True
clip-vit-b32,Space and perspective,pair_accuracy,0.7991763440860216,0.7997505376344085,0.0005741935483869476,True
clip-vit-b32,The overall,pair_accuracy,0.7947007978723404,0.795783244680851,0.001082446808510662,True
clip-vit-b32,The sense of order,pair_accuracy,0.7812702928870293,0.782252719665272,0.0009824267782426732,True
clip-vit-b32,Theme and logic,pair_accuracy,0.7737188284518828,0.774013389121339,0.00029456066945621195,True
clip-vit-b32,Total aesthetic score,pair_accuracy,0.806873005319149,0.8078723404255319,0.000999335106382948,True
clip-vit-b32,Color,mae,0.6631574654579162,0.6467317938804626,-0.01642567157745356,True
clip-vit-b32,Creativity,mae,0.7207323962450027,0.7086948657035828,-0.012037530541419983,True
clip-vit-b32,Details and texture,mae,0.6857178872823715,0.6774150413274765,-0.008302845954894944,True
clip-vit-b32,Layout and composition,mae,0.6551918148994446,0.6457942551374436,-0.009397559762000962,True
clip-vit-b32,Light and shadow,mae,0.6486278176307678,0.6357415080070495,-0.012886309623718284,True
clip-vit-b32,Mood,mae,0.6973003625869751,0.6892957663536072,-0.008004596233367911,True
clip-vit-b32,Space and perspective,mae,0.636347975730896,0.6246811366081237,-0.011666839122772221,True
clip-vit-b32,The overall,mae,0.6601198279857635,0.6492400705814362,-0.01087975740432734,True
clip-vit-b32,The sense of order,mae,0.6478591436147689,0.6383244967460633,-0.009534646868705643,True
clip-vit-b32,Theme and logic,mae,0.6416183584928512,0.6354647696018219,-0.006153588891029349,True
clip-vit-b32,Total aesthetic score,mae,6.971533007621765,6.8485864686965945,-0.12294653892517093,True
clip-vit-b32,Color,r2,0.6340100929224672,0.6487280585353794,0.014717965612912165,True
clip-vit-b32,Creativity,r2,0.5157452484732747,0.5291282381222707,0.01338298964899598,True
clip-vit-b32,Details and texture,r2,0.6613495873121137,0.6681583708467376,0.006808783534623886,True
clip-vit-b32,Layout and composition,r2,0.6092729679930992,0.6190562251117967,0.009783257118697541,True
clip-vit-b32,Light and shadow,r2,0.6792191484821393,0.6899377017165145,0.010718553234375205,True
clip-vit-b32,Mood,r2,0.5634089285422603,0.5718136236703761,0.008404695128115813,True
clip-vit-b32,Space and perspective,r2,0.6584947549955678,0.6699932974927713,0.011498542497203501,True
clip-vit-b32,The overall,r2,0.6243429740755747,0.6344367415157205,0.010093767440145784,True
clip-vit-b32,The sense of order,r2,0.5822486313737872,0.5930515932423841,0.010802961868596861,True
clip-vit-b32,Theme and logic,r2,0.5474311512534968,0.5546587005239243,0.007227549270427458,True
clip-vit-b32,Total aesthetic score,r2,0.6561160447667308,0.6654664479905573,0.00935040322382652,True
clip-vit-b32,Color,pearson,0.7970437605355992,0.8061902304921932,0.009146469956593961,True
clip-vit-b32,Creativity,pearson,0.7189591846871656,0.728281198107254,0.009322013420088426,True
clip-vit-b32,Details and texture,pearson,0.813593862781191,0.817728102890798,0.004134240109607057,True
clip-vit-b32,Layout and composition,pearson,0.7811168113065412,0.7873650820675977,0.006248270761056496,True
clip-vit-b32,Light and shadow,pearson,0.8251145190420692,0.8315396486135395,0.006425129571470234,True
clip-vit-b32,Mood,pearson,0.7517870168304946,0.7574355105551586,0.005648493724663917,True
clip-vit-b32,Space and perspective,pearson,0.8124553626529688,0.8194219659602995,0.0069666033073306766,True
clip-vit-b32,The overall,pearson,0.7906589403704788,0.7969874925643697,0.006328552193890946,True
clip-vit-b32,The sense of order,pearson,0.7633393770138426,0.7704219465832359,0.007082569569393349,True
clip-vit-b32,Theme and logic,pearson,0.7402895821338262,0.7450924975985653,0.004802915464739099,True
clip-vit-b32,Total aesthetic score,pearson,0.8104294026586176,0.8161371691818476,0.005707766523230018,True
clip-vit-b32,Color,spearman,0.75690003861237,0.7570204716454524,0.00012043303308240105,True
clip-vit-b32,Creativity,spearman,0.6878880125516786,0.6912554739870133,0.0033674614353346177,True
clip-vit-b32,Details and texture,spearman,0.8074070885496014,0.8082460219792169,0.000838933429615496,True
clip-vit-b32,Layout and composition,spearman,0.765025757472216,0.7671257193479986,0.002099961875782541,True
clip-vit-b32,Light and shadow,spearman,0.7963935351800903,0.7968222942511738,0.00042875907108352873,True
clip-vit-b32,Mood,spearman,0.7313672150023862,0.7314851090610338,0.00011789405864759406,True
clip-vit-b32,Space and perspective,spearman,0.7787584237317564,0.7792886696025287,0.0005302458707723279,True
clip-vit-b32,The overall,spearman,0.7720633319717395,0.7731933706315754,0.0011300386598359635,True
clip-vit-b32,The sense of order,spearman,0.7461089097079975,0.7479453279649405,0.0018364182569430287,True
clip-vit-b32,Theme and logic,spearman,0.7310681348541479,0.73183779056603,0.0007696557118821445,True
clip-vit-b32,Total aesthetic score,spearman,0.8024920967521354,0.8031264189380303,0.0006343221858948755,True
clip-vit-b32,Color,kendall,0.5722603564869365,0.5727911832610657,0.0005308267741291894,True
clip-vit-b32,Creativity,kendall,0.505352875603169,0.5088764651686194,0.0035235895654504024,True
clip-vit-b32,Details and texture,kendall,0.6169732322652333,0.6180060917840591,0.0010328595188258127,True
clip-vit-b32,Layout and composition,kendall,0.577018252045647,0.5792797769549276,0.0022615249092805545,True
clip-vit-b32,Light and shadow,kendall,0.6104663579305533,0.6112858041116137,0.0008194461810604459,True
clip-vit-b32,Mood,kendall,0.5439844331111563,0.544429723580019,0.000445290468862658,True
clip-vit-b32,Space and perspective,kendall,0.5924594023274335,0.5933574522891744,0.00089804996174081,True
clip-vit-b32,The overall,kendall,0.5835088589728624,0.5850083186232006,0.001499459650338153,True
clip-vit-b32,The sense of order,kendall,0.5575767718393146,0.5597073594944889,0.0021305876551742653,True
clip-vit-b32,Theme and logic,kendall,0.5420026134347532,0.5428349871041318,0.0008323736693786055,True
clip-vit-b32,Total aesthetic score,kendall,0.6113603151385937,0.6123913298032934,0.001031014664699681,True
resnet50,Color,pair_accuracy,0.7602376344086023,0.7603956989247312,0.0001580645161289862,True
resnet50,Creativity,pair_accuracy,0.7199353146853147,0.7202132867132868,0.0002779720279720843,True
resnet50,Details and texture,pair_accuracy,0.772093085106383,0.7719867021276596,-0.00010638297872334057,False
resnet50,Layout and composition,pair_accuracy,0.7558723404255319,0.7562313829787235,0.00035904255319163525,True
resnet50,Light and shadow,pair_accuracy,0.777936559139785,0.7778301075268818,-0.00010645161290323557,False
resnet50,Mood,pair_accuracy,0.7426271018793273,0.7433936696340256,0.0007665677546982996,True
resnet50,Space and perspective,pair_accuracy,0.7641795698924732,0.765341935483871,0.0011623655913978181,True
resnet50,The overall,pair_accuracy,0.7557386968085106,0.7562426861702127,0.0005039893617021507,True
resnet50,The sense of order,pair_accuracy,0.7435916317991632,0.7444175732217573,0.0008259414225940676,True
resnet50,Theme and logic,pair_accuracy,0.7391112970711298,0.7387062761506276,-0.00040502092050220817,False
resnet50,Total aesthetic score,pair_accuracy,0.768811835106383,0.7695890957446808,0.0007772606382978609,True
