mode,objective,N,mean,std
cross,bradley_terry,1,0.23402412244907747,0.2009762473530318
cross,bradley_terry,2,0.23596147290733896,0.2064270547821224
cross,bradley_terry,3,0.2513431823926733,0.20317729576530108
cross,bradley_terry,4,0.24760058133480448,0.206126783389907
cross,bradley_terry,5,0.25161037158510263,0.207725640976904
cross,bradley_terry,6,0.2504899030994326,0.20637034421615463
cross,bradley_terry,7,0.25570229753241674,0.20772547255557533
cross,bradley_terry,8,0.2490739769290248,0.2006689489660098
cross,bradley_terry,9,0.25612905081403486,0.20490386352080855
cross,bradley_terry,10,0.2569795076781751,0.20551106817637296
cross,hinge,1,0.2303571623830997,0.20570447111489487
cross,hinge,2,0.2357066031683023,0.20341753304613222
cross,hinge,3,0.24455080774923707,0.2001509452253986
cross,hinge,4,0.2434710256622899,0.20679854567862926
cross,hinge,5,0.2501242152688133,0.20179176801674456
cross,hinge,6,0.252754243579719,0.20551172754003855
cross,hinge,7,0.2504835234293884,0.20487424677611693
cross,hinge,8,0.2503573012840231,0.19945071848081636
cross,hinge,9,0.25361256325152814,0.20040609032702741
cross,hinge,10,0.252746180267014,0.20649679038732988
within,bradley_terry,1,0.30769833673018326,0.21546874130666296
within,bradley_terry,2,0.3247835522385221,0.21491036223029983
within,bradley_terry,3,0.3322472715013622,0.22629161563290018
within,bradley_terry,4,0.3342330477988294,0.22127842797574593
within,bradley_terry,5,0.34518286406476056,0.21715944631015674
within,bradley_terry,6,0.3380750921273158,0.2191478909131759
within,bradley_terry,7,0.3398136204161811,0.221517284748152
within,bradley_terry,8,0.3367230924501581,0.22619586156037436
within,bradley_terry,9,0.3378261566480008,0.21971767282374252
within,bradley_terry,10,0.34067678828595327,0.22100313071406755
within,hinge,1,0.3058315885898141,0.2187691095870429
within,hinge,2,0.32708255120375335,0.21732766071415363
within,hinge,3,0.33022613668108386,0.22540409064260858
within,hinge,4,0.3317934623208849,0.22184033702389827
within,hinge,5,0.33861711342241824,0.215305375798635
within,hinge,6,0.330914605850229,0.22077854948756465
within,hinge,7,0.33785467277510894,0.22736519957318674
within,hinge,8,0.3347272404877898,0.223265217373313
within,hinge,9,0.33692158398828254,0.22238620168431297
within,hinge,10,0.33926823487090624,0.21814804860814338
