representation,metric,mean_hinge,mean_bradley_terry,difference_bradley_terry_minus_hinge,difference_ci95_low,difference_ci95_high,bradley_terry_wins_targets,target_count,higher_is_better
clip-vit-b32,pair_accuracy,0.7882142424232875,0.7902324990953672,0.0020182566720794337,0.001605537774182268,0.002459273458789683,11,11,True
clip-vit-b32,mae,1.238213608319109,1.2198447548259388,-0.0183688534931703,-0.03524954417347903,-0.009229160707105307,11,11,False
clip-vit-b32,r2,0.6099215045424656,0.6205800714225509,0.010658566880085334,0.009113906848524075,0.012215456550558107,11,11,True
clip-vit-b32,pearson,0.7808226961139803,0.7877186641286547,0.006895968014674362,0.005802226983979099,0.008062289856074706,11,11,True
clip-vit-b32,spearman,0.7582115106159096,0.7621835110136481,0.003972000397738515,0.003130197996873591,0.0049108256939763015,11,11,True
clip-vit-b32,kendall,0.5710130817595813,0.5749079096226605,0.0038948278630790627,0.003146964496853048,0.004700351463899559,11,11,True
resnet50,pair_accuracy,0.7476189296785538,0.7483428383046378,0.0007239086260838871,0.00030737233603933697,0.0010958743750802663,9,11,True
resnet50,mae,1.4358102101629429,1.428409551869739,-0.007400658293203789,-0.015339802202853059,-0.0026472633440386023,10,11,False
resnet50,r2,0.4875894292207601,0.49190491093802274,0.004315481717262562,0.0026767387301523506,0.005686620166948524,10,11,True
resnet50,pearson,0.6977452573230869,0.7006387816028012,0.002893524279714364,0.0015541982116781298,0.003963246442798454,10,11,True
resnet50,spearman,0.6710695485368263,0.6725314563554026,0.0014619078185763275,0.0004375746647662899,0.0023635239610895423,9,11,True
resnet50,kendall,0.49050260450562866,0.49189456943576443,0.0013919649301359057,0.0005114873412426767,0.002177411657070807,9,11,True
