objective,target,metric,mean_resnet50,mean_clip-vit-b32,difference_clip-vit-b32_minus_resnet50,clip-vit-b32_wins
regression,Color,pair_accuracy,0.7626666666666667,0.7882903225806451,0.025623655913978416,True
regression,Creativity,pair_accuracy,0.7234090909090909,0.7649125874125875,0.041503496503496606,True
regression,Details and texture,pair_accuracy,0.7732845744680852,0.8159840425531915,0.042699468085106274,True
regression,Layout and composition,pair_accuracy,0.7569348404255318,0.7939827127659574,0.037047872340425614,True
regression,Light and shadow,pair_accuracy,0.7745591397849462,0.8136451612903226,0.039086021505376434,True
regression,Mood,pair_accuracy,0.7434025717111771,0.7767062314540059,0.033303659742828784,True
regression,Space and perspective,pair_accuracy,0.7650967741935484,0.803505376344086,0.03840860215053765,True
regression,The overall,pair_accuracy,0.7556449468085107,0.7997007978723405,0.04405585106382981,True
regression,The sense of order,pair_accuracy,0.742602510460251,0.7847949790794979,0.04219246861924686,True
regression,Theme and logic,pair_accuracy,0.7351464435146443,0.7746359832635983,0.03948953974895397,True
regression,Total aesthetic score,pair_accuracy,0.7713696808510638,0.8127460106382978,0.041376329787233934,True
regression,Color,mae,0.6988556325435639,0.6322121143341064,-0.06664351820945746,True
regression,Creativity,mae,0.7711377501487732,0.6776819169521332,-0.09345583319663997,True
regression,Details and texture,mae,0.7801008760929108,0.6556154251098633,-0.12448545098304753,True
regression,Layout and composition,mae,0.723082321882248,0.6301915407180786,-0.09289078116416938,True
regression,Light and shadow,mae,0.7114839196205139,0.6155506610870362,-0.09593325853347778,True
regression,Mood,mae,0.7715195715427399,0.6789148151874542,-0.09260475635528564,True
regression,Space and perspective,mae,0.7025751531124115,0.6173301458358764,-0.08524500727653506,True
regression,The overall,mae,0.7365055322647095,0.6234453797340394,-0.11306015253067014,True
regression,The sense of order,mae,0.7368874609470367,0.6255002200603486,-0.11138724088668817,True
regression,Theme and logic,mae,0.7168202519416809,0.6270411550998688,-0.08977909684181207,True
regression,Total aesthetic score,mae,7.530452823638916,6.408873844146728,-1.1215789794921873,True
regression,Color,r2,0.5816368441332663,0.6581344965973501,0.0764976524640838,True
regression,Creativity,r2,0.43489422834069824,0.5593318633777292,0.12443763503703098,True
regression,Details and texture,r2,0.5513851600284481,0.6840772273128009,0.1326920672843528,True
regression,Layout and composition,r2,0.5138629044881722,0.6298508453352935,0.11598794084712127,True
regression,Light and shadow,r2,0.59787737425123,0.699316686510255,0.10143931225902503,True
regression,Mood,r2,0.46198909002675237,0.5817893142558693,0.11980022422911696,True
regression,Space and perspective,r2,0.5727874459594032,0.6736181677636142,0.10083072180421093,True
regression,The overall,r2,0.5192031858582532,0.6545027098179267,0.13529952395967348,True
regression,The sense of order,r2,0.4460482972100916,0.6017600312470552,0.15571173403696364,True
regression,Theme and logic,r2,0.4209499998524714,0.5569754012708759,0.13602540141840447,True
regression,Total aesthetic score,r2,0.571986733529461,0.6911019444537662,0.11911521092430521,True
regression,Color,pearson,0.7735216993396122,0.820148833082475,0.04662713374286276,True
regression,Creativity,pearson,0.6698622128193911,0.7581873184002643,0.08832510558087325,True
regression,Details and texture,pearson,0.7524532926664024,0.8334371579055804,0.080983865239178,True
regression,Layout and composition,pearson,0.7299392331103991,0.8010679661691116,0.07112873305871248,True
regression,Light and shadow,pearson,0.7815739473404655,0.843500447655533,0.06192650031506752,True
regression,Mood,pearson,0.6991585160840997,0.7726349485118202,0.0734764324277205,True
regression,Space and perspective,pearson,0.7681042194657655,0.8308567643347751,0.06275254486900961,True
regression,The overall,pearson,0.7349891366659942,0.8154686159328156,0.08047947926682142,True
regression,The sense of order,pearson,0.6934633919255889,0.7850989608650306,0.09163556893944169,True
regression,Theme and logic,pearson,0.6715385618170087,0.7537797624201648,0.0822412006031561,True
regression,Total aesthetic score,pearson,0.7662173006941785,0.8393793921495165,0.07316209145533803,True
regression,Color,spearman,0.6963530689783706,0.7498121676947667,0.05345909871639609,True
regression,Creativity,spearman,0.6160435681709218,0.7076146946932736,0.09157112652235189,True
regression,Details and texture,spearman,0.7279287898307676,0.8146264064055352,0.0866976165747676,True
regression,Layout and composition,spearman,0.6853458044215682,0.7690562638863303,0.08371045946476208,True
regression,Light and shadow,spearman,0.7238715873232037,0.7992385776311892,0.07536699030798555,True
regression,Mood,spearman,0.6643865798030151,0.7403417082870445,0.07595512848402941,True
regression,Space and perspective,spearman,0.7056895727200971,0.779502887995107,0.0738133152750099,True
regression,The overall,spearman,0.6860278431548489,0.7783048041525444,0.09227696099769556,True
regression,The sense of order,spearman,0.6575265944570845,0.7517972313923589,0.09427063693527438,True
regression,Theme and logic,spearman,0.6474365725778799,0.7321372728917867,0.08470070031390675,True
regression,Total aesthetic score,spearman,0.7242660037588228,0.8066856788356718,0.082419675076849,True
regression,Color,kendall,0.5168741392715653,0.5682278013165245,0.05135366204495917,True
regression,Creativity,kendall,0.4457350435191897,0.5249086283140622,0.07917358479487246,True
regression,Details and texture,kendall,0.5399509903269942,0.626774052781333,0.0868230624543388,True
regression,Layout and composition,kendall,0.5043650255589834,0.5823741790880798,0.07800915352909632,True
regression,Light and shadow,kendall,0.5413146039945513,0.616990168343565,0.07567556434901368,True
regression,Mood,kendall,0.4834511301881338,0.5536102619316938,0.07015913174356003,True
regression,Space and perspective,kendall,0.5244096444668263,0.5961542928604153,0.07174464839358907,True
regression,The overall,kendall,0.5047185405744832,0.5924944439064271,0.08777590333194396,True
regression,The sense of order,kendall,0.47848491274201643,0.5657945917413485,0.08730967899933206,True
regression,Theme and logic,kendall,0.46855655808866475,0.5444979104588474,0.07594135237018268,True
regression,Total aesthetic score,kendall,0.5387818853874748,0.6196811526328498,0.080899267245375,True
hinge,Color,pair_accuracy,0.7551892473118279,0.7864010752688172,0.03121182795698929,True
hinge,Creativity,pair_accuracy,0.7089667832167832,0.7488129370629371,0.039846153846153864,True
hinge,Details and texture,pair_accuracy,0.7662160904255318,0.8111130319148936,0.04489694148936174,True
hinge,Layout and composition,pair_accuracy,0.7516968085106384,0.7911057180851064,0.039408909574468076,True
hinge,Light and shadow,pair_accuracy,0.7707107526881721,0.8072193548387097,0.03650860215053753,True
hinge,Mood,pair_accuracy,0.7345766567754698,0.772835806132542,0.0382591493570722,True
hinge,Space and perspective,pair_accuracy,0.7571623655913978,0.7964827956989248,0.03932043010752695,True
hinge,The overall,pair_accuracy,0.7503696808510638,0.7942746010638299,0.04390492021276604,True
hinge,The sense of order,pair_accuracy,0.7348460251046025,0.7812853556485355,0.04643933054393301,True
hinge,Theme and logic,pair_accuracy,0.7312945606694561,0.773052719665272,0.04175815899581592,True
hinge,Total aesthetic score,pair_accuracy,0.7627792553191489,0.8077732712765957,0.04499401595744679,True
hinge,Color,mae,0.738677596449852,0.6663573032617569,-0.07232029318809508,True
hinge,Creativity,mae,0.8290779548883438,0.7323495799303055,-0.09672837495803832,True
hinge,Details and texture,mae,0.8137791210412979,0.6862171131372452,-0.1275620079040527,True
hinge,Layout and composition,mae,0.7510179883241653,0.6546447056531907,-0.09637328267097467,True
hinge,Light and shadow,mae,0.7477860313653946,0.6505922675132751,-0.09719376385211942,True
hinge,Mood,mae,0.789544380903244,0.7026731044054031,-0.08687127649784088,True
hinge,Space and perspective,mae,0.7371328383684158,0.6422226256132126,-0.09491021275520317,True
hinge,The overall,mae,0.7636008846759796,0.6578517121076584,-0.10574917256832128,True
hinge,The sense of order,mae,0.7471993678808212,0.6465209949016572,-0.10067837297916404,True
hinge,Theme and logic,mae,0.725327839255333,0.644633082151413,-0.08069475710391993,True
hinge,Total aesthetic score,mae,8.150768308639526,6.936287202835083,-1.2144811058044427,True
hinge,Color,r2,0.5393712750503354,0.6298815327487436,0.09051025769840815,True
hinge,Creativity,r2,0.36656688707899154,0.503292038598984,0.13672515151999243,True
hinge,Details and texture,r2,0.5265241600634072,0.6628499243316314,0.13632576426822418,True
hinge,Layout and composition,r2,0.48883752106793366,0.6116785022655065,0.12284098119757281,True
hinge,Light and shadow,r2,0.5707908836571898,0.6773226406241355,0.10653175696694572,True
hinge,Mood,r2,0.44346390699144966,0.5592603346843769,0.1157964276929272,True
hinge,Space and perspective,r2,0.5412632303860041,0.6520703659348492,0.11080713554884514,True
hinge,The overall,r2,0.49409078605955237,0.6254488229451315,0.13135803688557912,True
hinge,The sense of order,r2,0.4423696640274931,0.5831719628926497,0.1408022988651566,True
hinge,Theme and logic,r2,0.42343916173954305,0.5441585472879512,0.12071938554840816,True
hinge,Total aesthetic score,r2,0.5267662453064618,0.6600018776531623,0.13323563234670055,True
hinge,Color,pearson,0.7351551217215742,0.7943684508085254,0.059213329086951205,True
hinge,Creativity,pearson,0.6073602814640601,0.7104084872096553,0.10304820574559526,True
hinge,Details and texture,pearson,0.7262290090254493,0.8144369780683498,0.08820796904290051,True
hinge,Layout and composition,pearson,0.699904722571026,0.7825317744810757,0.08262705191004971,True
hinge,Light and shadow,pearson,0.7563712099131612,0.823832962048638,0.06746175213547678,True
