objective,metric,mean_resnet50,mean_clip-vit-b32,difference_clip-vit-b32_minus_resnet50,difference_ci95_low,difference_ci95_high,clip-vit-b32_wins_targets,target_count,higher_is_better
regression,pair_accuracy,0.7549197490721377,0.7935367459322301,0.03861699686009221,0.035312408339788284,0.041183506655802754,11,11,True
regression,mae,1.352674663066864,1.1629415652968667,-0.18973309776999733,-0.3791337197477167,-0.08969026489691302,11,11,False
regression,r2,0.5156928421525679,0.6354962443584125,0.11980340220584443,0.10727047791237793,0.1313620147724056,11,11,True
regression,pearson,0.7309837738117188,0.8048691061297352,0.07388533231801649,0.06616327346616149,0.08097589591542118,11,11,True
regression,spearman,0.6849887259269618,0.7662834267150553,0.08129470078809348,0.07411025341131272,0.08722684381210871,11,11,True
regression,kendall,0.5042402249198985,0.5810461348522861,0.07680590993238758,0.07033865065468092,0.08202566760370239,11,11,True
hinge,pair_accuracy,0.7476189296785538,0.7882142424232875,0.04059531274473376,0.03797566367874862,0.04296340965880685,11,11,True
hinge,mae,1.4358102101629429,1.238213608319109,-0.19759660184383385,-0.40361789851703406,-0.08974770189008928,11,11,False
hinge,r2,0.4875894292207601,0.6099215045424656,0.12233207532170544,0.11310710448842497,0.13053945015310622,11,11,True
hinge,pearson,0.6977452573230869,0.7808226961139803,0.08307743879089359,0.07563117993082516,0.09027028495972574,11,11,True
hinge,spearman,0.6710695485368263,0.7582115106159096,0.08714196207908333,0.0809797893839232,0.09265660074379173,11,11,True
hinge,kendall,0.49050260450562866,0.5710130817595813,0.08051047725395274,0.07526442687110883,0.08521807254045784,11,11,True
bradley_terry,pair_accuracy,0.7483428383046378,0.7902324990953672,0.04188966079072931,0.03946016029305432,0.04403237010067857,11,11,True
bradley_terry,mae,1.428409551869739,1.2198447548259388,-0.20856479704380035,-0.4235030464936387,-0.096726721405983,11,11,False
bradley_terry,r2,0.49190491093802274,0.6205800714225509,0.12867516048452823,0.1200115365639101,0.13703930559136515,11,11,True
bradley_terry,pearson,0.7006387816028012,0.7877186641286547,0.0870798825258536,0.07949629990385158,0.09522582233074055,11,11,True
bradley_terry,spearman,0.6725314563554026,0.7621835110136481,0.08965205465824552,0.08350924843225019,0.09550918460005006,11,11,True
bradley_terry,kendall,0.49189456943576443,0.5749079096226605,0.0830133401868959,0.07813156268239536,0.08728563681120165,11,11,True
