representation,target,metric,mean_hinge,mean_bradley_terry,difference_bradley_terry_minus_hinge,bradley_terry_wins
clip-vit-b32,Color,pair_accuracy,0.7864010752688172,0.7888967741935484,0.0024956989247312267,True
clip-vit-b32,Creativity,pair_accuracy,0.7488129370629371,0.7523164335664336,0.0035034965034965726,True
clip-vit-b32,Details and texture,pair_accuracy,0.8111130319148936,0.8127353723404255,0.0016223404255318874,True
clip-vit-b32,Layout and composition,pair_accuracy,0.7911057180851064,0.7927353723404255,0.001629654255319024,True
clip-vit-b32,Light and shadow,pair_accuracy,0.8072193548387097,0.809194623655914,0.0019752688172043342,True
clip-vit-b32,Mood,pair_accuracy,0.772835806132542,0.7754688427299703,0.0026330365974283065,True
clip-vit-b32,Space and perspective,pair_accuracy,0.7964827956989248,0.798441935483871,0.0019591397849462178,True
clip-vit-b32,The overall,pair_accuracy,0.7942746010638299,0.7953710106382978,0.0010964095744679936,True
clip-vit-b32,The sense of order,pair_accuracy,0.7812853556485355,0.7828786610878662,0.0015933054393306723,True
clip-vit-b32,Theme and logic,pair_accuracy,0.773052719665272,0.7757824267782426,0.002729707112970603,True
clip-vit-b32,Total aesthetic score,pair_accuracy,0.8077732712765957,0.8087360372340426,0.0009627659574469316,True
clip-vit-b32,Color,mae,0.6663573032617569,0.6533466303348541,-0.013010672926902833,True
clip-vit-b32,Creativity,mae,0.7323495799303055,0.7204673874378205,-0.01188219249248501,True
clip-vit-b32,Details and texture,mae,0.6862171131372452,0.6787543195486069,-0.007462793588638328,True
clip-vit-b32,Layout and composition,mae,0.6546447056531907,0.6465171486139297,-0.008127557039260935,True
clip-vit-b32,Light and shadow,mae,0.6505922675132751,0.6389438897371292,-0.011648377776145913,True
clip-vit-b32,Mood,mae,0.7026731044054031,0.6913977402448654,-0.011275364160537649,True
clip-vit-b32,Space and perspective,mae,0.6422226256132126,0.6305524557828903,-0.011670169830322319,True
clip-vit-b32,The overall,mae,0.6578517121076584,0.6477112400531769,-0.01014047205448143,True
clip-vit-b32,The sense of order,mae,0.6465209949016572,0.639358137845993,-0.007162857055664107,True
clip-vit-b32,Theme and logic,mae,0.644633082151413,0.6357816272974014,-0.00885145485401162,True
clip-vit-b32,Total aesthetic score,mae,6.936287202835083,6.83546172618866,-0.10082547664642316,True
clip-vit-b32,Color,r2,0.6298815327487436,0.6431863398303845,0.013304807081640946,True
clip-vit-b32,Creativity,r2,0.503292038598984,0.5186996490084286,0.015407610409444605,True
clip-vit-b32,Details and texture,r2,0.6628499243316314,0.6687707846954208,0.005920860363789471,True
clip-vit-b32,Layout and composition,r2,0.6116785022655065,0.6198300823982603,0.008151580132753855,True
clip-vit-b32,Light and shadow,r2,0.6773226406241355,0.6875458762279594,0.010223235603823877,True
clip-vit-b32,Mood,r2,0.5592603346843769,0.572410548155136,0.013150213470759176,True
clip-vit-b32,Space and perspective,r2,0.6520703659348492,0.66448445921515,0.012414093280300742,True
clip-vit-b32,The overall,r2,0.6254488229451315,0.6358418213862823,0.010392998441150825,True
clip-vit-b32,The sense of order,r2,0.5831719628926497,0.591767933129228,0.00859597023657832,True
clip-vit-b32,Theme and logic,r2,0.5441585472879512,0.5553021912766172,0.011143643988665963,True
clip-vit-b32,Total aesthetic score,r2,0.6600018776531623,0.6685411003251932,0.008539222672030888,True
