dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,beauty,within,2,regression,,0,140,20,78,0,0,780,33,0.6756410256410257,2.3513243198394775,8.322203636169434,-0.4981295806916022,0.49152071488060756,0.4759142756583024,0.33658299613633674
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,1,0,140,20,78,140,20,780,20,0.6141025641025641,2.0273780822753906,6.476302146911621,-0.16583803908539818,0.2925144158580224,0.289333739900311,0.20859660474835998
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,2,0,140,20,78,280,40,780,16,0.6294871794871795,1.9439587593078613,5.853052139282227,-0.05364292500709733,0.3508627869996417,0.34117583681461283,0.24112353294640934
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,3,0,140,20,78,420,60,780,17,0.6807692307692308,1.8241263628005981,5.0967206954956055,0.08250886853095418,0.47933729739452247,0.4467730231492791,0.32809771051945436
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,4,0,140,20,78,560,80,780,16,0.65,1.8652074337005615,5.495284557342529,0.010760932243834787,0.41654510249281884,0.4146219957640504,0.30193474653406677
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,5,0,140,20,78,700,100,780,17,0.6871794871794872,1.8120031356811523,5.149509429931641,0.07300595623152184,0.49302958909538575,0.5076699512589449,0.3676957100649057
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,6,0,140,20,78,840,100,780,16,0.6525641025641026,1.909433364868164,5.401909828186035,0.027569975600512442,0.3950771537492983,0.38068550870649637,0.2764788896834195
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,7,0,140,20,78,980,100,780,16,0.6743589743589744,1.8274860382080078,5.193225383758545,0.06513656688637925,0.431131179764634,0.4335606215740721,0.30688449647724825
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,8,0,140,20,78,1120,100,780,16,0.6858974358974359,1.7407028675079346,4.766495704650879,0.14195462418424243,0.5256910427001458,0.5079122636430461,0.3719383528733469
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,9,0,140,20,78,1260,100,780,16,0.6782051282051282,1.7940027713775635,4.855351448059082,0.1259591800690586,0.4417757943410834,0.42274583727313036,0.30617738934250804
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,10,0,140,20,78,1400,100,780,16,0.6935897435897436,1.800345540046692,5.387421131134033,0.030178186610749447,0.48057055276149185,0.4753786377566048,0.36062463871750366
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,1,0,140,20,78,140,20,780,16,0.5961538461538461,2.042637825012207,6.675926685333252,-0.20177351562248158,0.23216023358691018,0.24703109894957576,0.1725341408766096
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,2,0,140,20,78,280,40,780,16,0.6076923076923076,1.9522356986999512,5.89561128616333,-0.0613042645033135,0.29244748988276115,0.2861454190568731,0.20152553340095794
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,3,0,140,20,78,420,60,780,16,0.6551282051282051,1.9043512344360352,5.641236782073975,-0.015512757703431967,0.41028356927563436,0.38856703783147517,0.2800144253571205
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,4,0,140,20,78,560,80,780,16,0.65,1.8680416345596313,5.421093463897705,0.024116582633765593,0.42872131735475705,0.4296326102949565,0.3132484606899101
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,5,0,140,20,78,700,100,780,16,0.6641025641025641,1.8316421508789062,5.262436866760254,0.05267718903178431,0.43736251632799394,0.42329422845820175,0.3075916036119884
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,6,0,140,20,78,840,100,780,16,0.6461538461538462,1.8502134084701538,5.327857971191406,0.04090038524146489,0.4014123518318229,0.38833747873074764,0.28496417530030194
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,7,0,140,20,78,980,100,780,16,0.676923076923077,1.8251144886016846,5.19345760345459,0.06509457239657945,0.4333262827640283,0.4350400024454273,0.3132484606899101
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,8,0,140,20,78,1120,100,780,16,0.7025641025641025,1.7509713172912598,4.776704788208008,0.14011685129451257,0.5210562418797053,0.5276033331721192,0.3882018169723716
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,9,0,140,20,78,1260,100,780,16,0.6987179487179487,1.8152213096618652,5.237856864929199,0.057102083848245,0.45609538455028087,0.461592338429579,0.3415327460795182
sidhu,clip-vit-b32,abstract,beauty,within,2,bradley_terry,10,0,140,20,78,1400,100,780,16,0.7012820512820512,1.76979398727417,5.18384313583374,0.06682535120727018,0.49151620724296663,0.49069533108848096,0.3719383528733469
sidhu,clip-vit-b32,abstract,beauty,within,2,regression,,1,140,20,78,0,0,780,44,0.6358974358974359,1.8877633810043335,5.39398717880249,-0.13880753408137014,0.3649597160256235,0.3534256625983618,0.2511748335995292
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,1,1,140,20,78,140,20,780,30,0.6435897435897436,1.777689814567566,5.155673503875732,-0.08849352332876337,0.41345075476363036,0.38534253563448867,0.2904209013494556
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,2,1,140,20,78,280,40,780,16,0.6974358974358974,1.8444747924804688,4.949955463409424,-0.04506117912856755,0.5162214312731521,0.49193670776155346,0.3553553043538793
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,3,1,140,20,78,420,60,780,17,0.6705128205128205,1.755674123764038,4.9702558517456055,-0.04934720672694404,0.466488539466809,0.453613443142454,0.3425111367266307
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,4,1,140,20,78,560,80,780,25,0.691025641025641,1.538137435913086,4.074002742767334,0.13987454735092208,0.5040345427405555,0.4881644811807612,0.37105373145384996
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,5,1,140,20,78,700,100,780,17,0.6628205128205128,1.5729488134384155,4.094812870025635,0.1354811107873467,0.46090314761022455,0.44592833068463655,0.3275262744948406
sidhu,clip-vit-b32,abstract,beauty,within,2,hinge,6,1,140,20,78,840,100,780,18,0.7128205128205128,1.6175960302352905,4.170454978942871,0.11951106482146179,0.5159968694479176,0.5016933480366196,0.3760486855311133
