dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,liking,cross,1,regression,,0,140,20,76,0,0,760,83,0.55,2.558211326599121,7.9240336418151855,0.025419560928231277,0.17350792431352602,0.11479316281016731,0.07981307535841284
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,1,0,140,20,76,140,20,760,16,0.6342105263157894,2.488771915435791,7.606359481811523,0.06449061180975812,0.3670976069406606,0.40111332364664065,0.282905501857285
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,2,0,140,20,76,280,40,760,16,0.5,2.5930991172790527,8.20908260345459,-0.009638723134929528,0.014729569484188687,0.06173204605776498,0.040093892316198004
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,3,0,140,20,76,420,60,760,16,0.5407894736842105,2.5973103046417236,8.135758399963379,-0.0006205455883374622,0.04940465213439893,0.1265154860271305,0.07906365681044654
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,4,0,140,20,76,560,80,760,16,0.6986842105263158,2.449739456176758,7.291014671325684,0.10327494549542837,0.5190617723565083,0.5008013962337717,0.37283572761324313
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,5,0,140,20,76,700,100,760,17,0.6,2.5824012756347656,8.076862335205078,0.006623143413197474,0.2544139923338662,0.2755505352661185,0.1989706244850574
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,6,0,140,20,76,840,100,760,16,0.7105263157894737,2.5441856384277344,7.874639987945557,0.03149443254233719,0.5217727916897275,0.5515290941125972,0.4043113066278285
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,7,0,140,20,76,980,100,760,16,0.7013157894736842,2.484417200088501,7.487170696258545,0.07914951935841852,0.47983659665624145,0.5091961812937407,0.37958049454494
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,8,0,140,20,76,1120,100,760,16,0.6881578947368421,2.575841188430786,8.055814743041992,0.009211813784301248,0.4047249410068616,0.4314891906399493,0.3203764292556009
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,9,0,140,20,76,1260,100,760,16,0.6539473684210526,2.5493719577789307,7.886316299438477,0.030058526726487123,0.29497969364456367,0.34766560495068716,0.25217934139066595
sidhu,clip-vit-b32,representational,liking,cross,1,hinge,10,0,140,20,76,1400,100,760,16,0.6921052631578948,2.517618179321289,7.681199073791504,0.05528589104400228,0.45392873489861074,0.47746720749800287,0.35110258972221986
