dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,liking,within,3,regression,,0,140,20,78,0,0,780,41,0.5974358974358974,1.8405922651290894,5.794691562652588,-0.16656976089436282,0.32019258516447735,0.2836717354915801,0.21562474138967322
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,1,0,140,20,78,140,20,780,16,0.6294871794871795,1.9189108610153198,6.07853889465332,-0.22371298981983623,0.29675648979173275,0.29805447778048905,0.20988431566216115
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,2,0,140,20,78,280,40,780,17,0.6012820512820513,1.93390953540802,5.934804916381836,-0.19477684085283653,0.3185148527063575,0.2600164149148973,0.17902952737678363
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,3,0,140,20,78,420,60,780,16,0.6256410256410256,1.9277619123458862,6.036144733428955,-0.21517836833897763,0.4024600972334156,0.35429189665012334,0.2543726150503799
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,4,0,140,20,78,560,80,780,16,0.6384615384615384,1.8668957948684692,5.688929080963135,-0.14527791046209337,0.37184465295831615,0.3274859486441692,0.24002155073159967
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,5,0,140,20,78,700,100,780,16,0.6230769230769231,1.8784997463226318,5.476304054260254,-0.10247296438057818,0.36704436159925535,0.2964151269229821,0.21634229460561225
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,6,0,140,20,78,840,100,780,16,0.6346153846153846,1.874578595161438,5.547023296356201,-0.11670984983891897,0.41463371217105305,0.3650757515096615,0.26370080685758707
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,7,0,140,20,78,980,100,780,16,0.6423076923076924,1.8298895359039307,5.358210563659668,-0.07869870223802056,0.42700284025704605,0.3689307875105178,0.26154814720977004
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,8,0,140,20,78,1120,100,780,17,0.6628205128205128,1.777870774269104,5.021568298339844,-0.010926833453961615,0.4521759463532362,0.40741711037620904,0.30460134016611073
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,9,0,140,20,78,1260,100,780,17,0.6820512820512821,1.7820508480072021,5.1750617027282715,-0.04182772684166314,0.4921479954246024,0.44905406067117176,0.33402102201961026
sidhu,clip-vit-b32,abstract,liking,within,3,hinge,10,0,140,20,78,1400,100,780,16,0.6051282051282051,1.895410418510437,5.546892166137695,-0.11668347454455419,0.3506683085961413,0.3299962046447268,0.24289176359535572
sidhu,clip-vit-b32,abstract,liking,within,3,bradley_terry,1,0,140,20,78,140,20,780,16,0.617948717948718,1.9593313932418823,6.185225486755371,-0.24519072960182298,0.282124865680089,0.26146365434379015,0.1890752723999298
sidhu,clip-vit-b32,abstract,liking,within,3,bradley_terry,2,0,140,20,78,280,40,780,16,0.6051282051282051,1.9049063920974731,5.811486721038818,-0.169950937579338,0.33849472545989556,0.2888843589213093,0.2070141027984051
sidhu,clip-vit-b32,abstract,liking,within,3,bradley_terry,3,0,140,20,78,420,60,780,16,0.6410256410256411,1.9265854358673096,6.055628299713135,-0.21910067369967634,0.41796803483521217,0.37396410694020715,0.2723114454488552
sidhu,clip-vit-b32,abstract,liking,within,3,bradley_terry,4,0,140,20,78,560,80,780,16,0.6435897435897436,1.8363467454910278,5.454076290130615,-0.09799806715836068,0.4036731383566803,0.3281263200728829,0.24217421037941672
sidhu,clip-vit-b32,abstract,liking,within,3,bradley_terry,5,0,140,20,78,700,100,780,16,0.6371794871794871,1.872003197669983,5.44966459274292,-0.09711001109605344,0.37673620390705764,0.3272554149298323,0.2299758057084535
