Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Average
145,7,4,3,8,1,2,6,4,1,1,4,3,3,2,2,5,4,3,5,4,1,6,1,2,2,2,1,4,8,3,1,7,5,7,8,7,1,1,4,2,1,2,8,3.627906977
146,8,1,3,6,2,2,4,3,1,2,4,6,2,6,1,2,4,4,6,7,3,2,1,3,1,2,2,7,6,5,3,4,5,7,7,6,3,1,3,5,4,8,9,3.976744186
147,6,2,3,8,1,2,6,2,1,3,6,1,2,3,1,7,4,7,3,4,7,8,1,3,2,6,1,5,3,2,1,8,5,7,9,7,8,1,6,6,1,3,9,4.209302326
148,7,2,4,2,3,2,5,2,4,1,5,1,1,4,1,9,3,3,6,6,6,2,1,4,2,2,5,4,2,6,4,6,5,6,6,4,6,1,6,7,5,6,9,4.093023256
149,6,1,4,3,6,2,6,1,8,1,4,6,1,9,5,5,7,1,3,4,1,6,1,2,1,3,5,5,4,6,5,4,2,5,4,3,5,7,4,6,1,6,1,3.953488372
150,7,8,3,4,2,3,2,8,5,1,2,6,1,9,2,5,7,5,6,5,2,3,1,7,2,2,3,5,4,6,3,5,5,5,8,5,6,6,4,6,2,5,9,4.534883721
151,1,6,4,4,3,2,7,8,5,1,8,6,4,7,1,7,5,3,4,6,6,7,1,7,5,6,6,7,5,5,8,6,3,7,8,4,7,3,1,7,8,3,7,5.093023256
152,6,3,7,6,4,3,3,6,2,2,9,6,3,6,5,4,8,6,4,4,4,4,1,2,4,5,4,6,8,4,7,7,6,7,8,6,2,5,7,5,1,7,9,5.023255814
153,5,4,2,7,3,4,4,2,3,3,5,6,6,3,5,2,6,8,6,4,2,3,1,3,2,6,5,1,7,5,6,7,7,7,7,6,7,7,5,4,1,7,9,4.720930233
154,5,2,6,9,3,1,5,6,8,2,7,6,4,9,1,4,7,2,5,6,5,4,5,1,1,6,4,7,6,7,7,7,6,7,7,5,7,5,5,8,4,3,9,5.209302326
155,3,3,8,9,2,2,6,2,1,4,5,1,4,6,4,2,8,7,5,6,6,3,8,4,5,5,4,7,7,2,5,5,8,6,9,6,6,3,6,4,5,9,9,5.11627907
156,5,2,4,5,4,4,5,1,6,2,5,7,2,8,6,5,6,7,5,4,3,2,1,3,1,2,3,2,3,7,5,5,6,8,3,6,9,6,5,6,1,2,9,4.441860465
157,5,2,2,5,4,4,3,4,1,2,4,6,3,6,5,6,8,5,6,6,3,2,1,5,3,3,1,2,8,4,5,5,8,7,5,6,9,1,4,3,1,8,9,4.418604651
158,8,3,2,8,5,3,6,3,5,2,5,7,6,7,7,3,8,7,7,6,4,1,1,4,1,2,4,3,9,4,8,7,7,7,9,5,2,8,6,1,1,8,9,5.093023256
159,7,6,1,2,7,2,4,2,2,2,5,1,1,9,2,5,4,5,6,4,5,6,1,4,1,1,2,3,4,4,1,7,3,5,7,5,4,5,3,5,3,5,9,3.953488372
160,8,2,3,4,2,2,5,1,5,2,5,6,5,5,7,2,9,2,5,4,3,1,1,3,6,6,4,1,9,5,2,8,5,8,4,5,7,5,8,3,1,6,9,4.511627907
161,6,7,2,5,3,3,6,4,6,3,7,7,6,6,2,9,5,7,9,6,6,4,2,5,3,3,5,7,4,7,8,6,4,6,8,5,9,7,5,9,7,6,9,5.674418605
162,7,3,4,7,2,2,3,4,4,2,7,1,4,3,1,2,5,6,7,4,6,4,1,2,3,3,5,2,8,3,1,7,5,5,5,1,2,3,2,3,1,3,9,3.76744186
163,3,2,4,4,3,2,5,4,3,2,8,7,1,3,1,3,3,2,4,4,4,1,2,3,3,2,2,5,7,6,5,8,4,6,8,4,2,1,8,3,2,8,9,3.976744186
164,7,6,7,4,6,6,1,6,5,3,6,2,2,4,8,4,9,3,6,6,7,7,1,3,2,6,2,5,7,3,2,7,8,6,8,7,5,2,6,5,1,8,9,5.069767442
165,4,4,1,6,3,7,1,6,2,2,5,1,6,3,5,4,8,8,4,4,4,4,1,5,2,2,1,1,8,3,1,7,7,8,7,7,2,2,5,1,1,3,9,4.069767442
166,5,1,2,4,9,5,8,4,6,2,7,6,3,8,5,2,7,1,5,6,3,2,1,3,1,3,4,5,6,7,4,7,5,7,8,5,7,6,7,2,2,2,9,4.697674419
167,3,2,3,5,4,2,6,2,6,2,6,7,6,4,5,4,6,6,4,7,5,3,1,3,2,5,6,1,6,7,4,8,6,7,9,5,8,6,4,8,1,4,9,4.837209302
168,3,1,6,7,4,5,7,2,5,3,6,8,1,5,4,1,6,5,1,6,2,4,1,3,2,4,6,2,7,6,3,6,3,7,9,6,3,5,6,7,1,6,9,4.511627907
169,6,6,7,7,4,3,8,6,9,4,9,8,6,9,7,9,4,6,8,7,5,6,1,5,4,4,5,9,6,6,2,4,7,6,7,6,9,6,2,9,8,8,6,6.139534884
170,4,5,3,3,3,4,5,3,1,2,1,2,1,7,3,4,6,2,4,6,7,3,1,3,1,6,4,2,5,5,3,5,5,7,9,6,8,7,5,5,3,7,9,4.302325581
171,5,8,4,8,3,4,8,3,2,2,3,7,5,3,2,7,3,3,6,6,3,6,1,3,5,4,4,8,8,4,6,6,7,6,4,6,3,6,3,5,5,6,9,4.88372093
172,3,4,3,3,2,2,7,4,3,4,7,8,6,7,2,3,7,8,9,7,7,7,3,4,3,4,3,9,8,3,4,8,6,7,7,6,9,7,7,8,6,8,9,5.627906977
173,7,2,6,4,2,2,7,4,9,3,9,8,7,3,6,8,6,1,7,6,6,3,3,5,2,2,6,8,7,7,5,6,7,8,8,5,2,8,6,2,7,7,1,5.302325581
174,2,1,3,6,1,2,7,6,6,2,2,7,2,7,2,2,8,2,7,6,4,5,1,2,2,3,3,7,5,7,1,5,3,7,8,6,2,6,6,2,5,3,9,4.255813953
175,5,2,7,3,3,4,7,2,7,2,6,6,7,4,1,4,4,4,6,3,1,7,1,3,1,6,6,9,8,5,8,6,5,6,8,4,1,5,5,3,7,4,9,4.76744186
176,6,4,7,8,6,3,4,4,4,5,7,8,8,5,2,4,5,4,9,6,6,6,1,4,2,5,5,9,8,5,7,6,8,6,8,4,6,5,6,8,9,8,9,5.813953488
177,3,7,4,8,2,1,4,7,6,1,7,6,8,7,5,4,7,8,9,6,8,8,1,2,4,5,4,9,9,4,7,7,7,6,9,5,3,5,6,9,2,8,9,5.744186047
178,5,3,6,6,6,5,7,6,4,2,4,6,7,9,7,7,9,8,5,7,6,3,1,5,4,6,6,9,8,8,2,8,7,6,7,6,8,7,4,5,7,6,9,5.976744186
179,3,7,4,6,1,3,7,1,3,3,1,7,8,8,1,8,4,8,8,6,3,6,1,7,2,6,2,9,8,3,3,5,6,7,9,4,5,7,1,9,7,8,9,5.209302326
180,6,6,6,9,4,3,8,4,9,2,8,7,8,4,5,6,6,9,7,7,6,1,1,4,4,8,6,7,8,7,9,7,5,7,7,6,8,4,6,4,6,2,9,5.953488372
181,5,1,2,3,6,5,4,4,4,5,9,6,8,9,1,3,3,9,9,6,3,2,1,3,3,6,1,8,4,4,1,8,5,7,8,8,7,8,3,8,3,4,9,5.023255814
182,4,7,6,8,6,6,7,7,8,6,8,8,8,3,1,3,6,7,9,3,8,6,1,8,2,7,6,3,9,4,8,8,7,5,9,8,9,7,6,8,1,8,9,6.23255814
183,5,8,9,6,6,5,3,4,9,1,8,9,7,7,7,5,4,9,6,7,7,7,1,9,4,9,6,9,9,7,7,7,6,5,6,6,9,4,9,8,6,8,9,6.581395349
184,7,1,6,9,4,4,6,2,7,2,9,9,6,4,7,4,5,3,6,6,3,2,2,6,2,8,6,2,8,7,6,8,5,8,9,7,8,9,6,7,5,2,9,5.627906977
185,8,7,4,6,2,3,6,1,3,3,7,1,4,5,3,7,6,7,6,4,4,4,1,4,2,2,2,1,7,2,6,5,5,8,6,7,2,6,3,4,1,7,7,4.395348837
186,9,3,8,8,4,6,5,6,7,4,8,9,7,4,7,1,8,6,6,7,6,2,1,3,4,9,5,8,8,6,1,7,7,7,6,8,5,7,9,6,5,8,9,6.046511628
187,7,1,6,4,8,5,5,2,5,2,7,7,3,8,7,2,6,5,5,6,6,2,1,2,2,3,3,1,7,6,3,6,7,8,5,5,5,8,6,5,5,6,1,4.744186047
188,8,7,7,9,2,1,6,3,4,3,8,1,2,3,1,2,6,4,3,5,2,2,1,3,1,2,1,5,6,5,1,8,2,6,7,4,2,1,5,8,6,6,9,4.139534884
189,3,6,6,4,2,3,5,1,2,3,5,6,1,8,8,4,8,7,5,4,5,2,1,2,3,7,2,1,4,4,3,8,7,8,7,7,9,8,8,3,1,8,9,4.837209302
190,4,6,7,7,5,4,8,6,7,9,9,8,7,4,7,7,8,6,5,6,7,4,1,3,4,7,5,7,9,5,8,5,7,6,8,7,9,6,6,7,4,7,9,6.302325581
191,7,7,6,7,7,4,7,8,6,4,9,8,2,6,7,6,6,7,9,7,6,7,5,8,5,7,8,7,7,5,9,8,5,8,9,7,9,9,6,7,8,8,9,6.906976744
192,7,1,2,8,3,3,6,1,3,3,7,6,4,6,8,2,4,5,5,6,4,1,1,1,2,2,2,1,4,5,3,7,7,8,6,5,8,8,4,8,1,3,9,4.418604651
193,6,1,8,8,2,2,8,7,5,3,5,5,1,8,1,3,2,2,8,6,1,2,1,9,2,1,2,9,4,5,6,8,5,5,9,6,5,9,6,7,7,2,2,4.744186047
194,9,1,4,6,2,8,3,4,2,3,3,6,7,5,7,2,7,9,8,4,6,5,1,2,3,7,4,1,9,2,6,7,6,7,9,8,8,8,6,3,1,9,9,5.279069767
195,2,7,7,5,2,5,7,8,6,4,3,6,2,9,8,9,4,9,7,5,8,2,5,8,2,7,3,8,7,3,9,8,8,6,9,4,1,1,7,9,5,6,9,5.813953488
196,3,5,4,5,4,4,2,2,6,3,4,7,6,8,7,9,6,5,7,4,6,8,1,3,6,6,4,3,4,4,6,8,7,7,8,8,9,1,8,7,5,8,9,5.511627907
197,7,6,6,5,2,4,7,4,6,2,9,6,2,4,3,8,4,7,7,7,7,5,1,7,2,5,5,8,7,6,7,5,4,7,9,5,9,6,6,5,4,7,9,5.627906977
198,5,8,6,8,4,2,7,3,7,3,9,3,5,9,6,7,7,6,7,4,6,6,6,2,2,7,4,1,8,4,8,6,8,8,9,6,9,7,6,6,1,7,9,5.860465116
199,5,4,5,6,1,2,6,2,1,1,6,6,3,7,2,1,4,4,4,6,2,2,1,2,1,2,2,7,7,4,6,8,3,7,3,6,3,7,5,9,6,7,9,4.302325581
200,3,5,5,9,5,3,4,2,9,4,7,6,3,7,4,6,7,5,7,7,2,1,2,4,5,6,3,3,5,6,4,7,4,7,7,6,6,7,6,4,6,7,9,5.23255814
201,3,1,4,8,1,1,7,3,1,1,5,5,2,2,1,2,3,2,6,6,2,1,2,3,1,2,1,8,6,4,3,8,3,7,1,3,9,7,5,4,3,9,9,3.837209302
202,4,6,6,7,3,6,4,4,8,4,8,6,7,6,5,2,6,4,7,6,5,3,1,3,2,4,3,3,8,6,4,7,3,7,8,5,7,6,6,1,5,7,9,5.162790698
203,7,2,2,8,3,4,7,3,6,3,7,7,4,5,6,2,9,8,7,7,2,2,1,4,2,8,5,8,9,6,7,8,5,8,9,7,4,5,6,3,5,8,9,5.534883721
204,8,1,6,8,4,4,8,2,5,2,3,6,4,3,6,2,8,8,7,7,2,1,1,3,1,3,2,1,4,7,2,8,5,8,9,6,2,6,7,8,2,9,9,4.837209302
205,7,2,2,8,3,4,1,1,3,2,1,6,2,8,8,1,8,7,5,5,1,1,1,1,1,2,3,1,4,5,1,7,5,8,9,4,8,9,5,2,1,2,9,4.046511628
206,7,1,2,5,3,6,6,1,4,2,8,6,3,8,8,2,7,3,6,6,6,1,1,1,2,2,1,1,4,6,3,5,6,8,5,5,9,6,6,6,4,7,7,4.558139535
207,3,3,4,4,2,4,7,4,6,1,4,6,3,8,6,2,7,2,6,6,2,4,1,3,2,1,5,2,5,5,5,7,6,8,9,6,6,8,6,3,1,2,9,4.511627907
208,7,2,5,3,3,5,4,6,1,3,4,7,4,9,7,5,7,8,8,6,3,2,3,3,1,5,2,1,8,4,1,7,7,8,8,6,9,7,5,7,1,9,9,5.11627907
209,5,2,4,6,1,3,5,2,1,2,5,4,1,8,6,1,7,4,7,4,5,1,1,5,2,2,1,2,7,5,1,8,5,7,5,5,7,9,9,4,1,4,9,4.255813953
210,2,1,4,9,3,2,5,2,3,2,1,4,3,8,3,4,8,4,4,5,2,1,2,2,1,1,3,1,2,6,5,7,6,7,9,3,9,9,5,8,1,3,9,4.162790698
211,6,2,8,8,1,4,5,3,5,2,2,6,7,9,2,7,5,4,6,5,3,6,1,3,2,7,5,7,6,4,3,7,5,7,7,6,9,7,7,7,6,6,9,5.279069767
212,4,3,3,5,2,3,5,1,2,1,5,3,2,3,6,1,8,1,6,6,3,2,1,2,2,3,3,1,6,5,1,8,4,8,7,5,8,8,7,3,1,6,9,4.023255814
213,7,1,3,3,6,7,6,1,6,2,7,8,5,4,7,3,7,6,6,6,3,3,1,3,3,4,2,5,8,4,7,8,7,8,6,7,8,9,6,5,3,7,9,5.279069767
214,5,6,3,6,6,3,3,5,7,2,8,4,8,4,3,4,3,6,8,6,6,4,1,7,2,7,6,5,8,5,3,8,5,6,9,5,8,6,6,3,6,4,9,5.325581395
215,4,7,3,8,2,4,7,3,2,6,9,7,4,6,6,3,7,8,6,6,5,3,1,2,5,9,2,7,6,6,7,7,6,6,9,6,6,7,6,7,5,9,9,5.674418605
216,5,5,1,8,4,1,7,2,3,2,2,7,2,4,2,6,6,7,7,4,5,2,7,3,2,2,4,2,3,4,4,7,7,7,8,6,7,1,7,4,8,7,9,4.674418605
217,7,6,6,6,3,7,6,7,8,6,9,7,7,3,3,6,8,8,9,6,8,8,1,6,4,7,5,9,6,6,9,8,7,7,9,8,2,5,7,9,6,9,9,6.581395349
218,7,9,9,8,7,3,9,7,8,4,9,9,7,4,1,9,6,9,9,6,8,8,3,3,7,7,6,9,8,6,7,8,6,6,8,7,9,7,7,8,9,3,9,6.953488372
219,7,1,7,8,2,2,6,2,4,2,8,6,2,3,3,4,4,6,6,6,5,4,1,6,5,4,4,8,5,6,4,9,6,5,7,4,7,3,4,5,6,7,9,4.953488372
220,5,6,8,2,7,3,8,6,9,5,9,8,7,7,2,6,7,6,8,7,6,2,1,5,8,8,8,9,5,6,9,6,2,6,8,7,3,8,6,5,7,6,9,6.186046512
221,6,2,9,8,8,5,9,2,3,8,9,8,4,7,3,9,4,6,8,7,7,1,2,4,3,5,6,7,4,6,9,9,8,6,9,6,9,5,4,9,9,7,9,6.255813953
222,2,9,8,8,6,2,8,2,6,2,8,7,1,8,1,9,4,4,9,7,4,7,1,9,5,8,9,8,8,7,9,7,7,5,6,4,8,6,6,8,8,6,6,6.11627907
223,5,7,2,4,2,2,4,4,6,8,1,2,2,5,6,3,8,3,6,4,2,1,1,2,3,4,3,1,4,4,3,7,6,6,8,7,8,7,5,3,1,8,9,4.348837209
224,6,1,2,5,4,2,6,2,3,3,1,7,6,7,9,2,9,6,8,6,6,2,1,2,2,1,3,5,3,6,4,8,7,8,6,7,9,7,7,4,7,8,9,5.046511628
225,4,7,8,9,2,3,7,2,6,4,8,9,5,3,4,7,4,3,6,6,8,3,6,2,7,9,5,7,7,6,8,7,4,6,7,5,9,7,4,7,6,3,9,5.790697674
226,5,7,7,8,6,5,9,7,9,4,8,9,8,6,8,4,9,7,9,7,7,8,5,4,6,9,7,7,9,8,8,4,5,8,9,8,9,8,8,6,3,7,9,7.069767442
227,4,3,6,8,5,4,7,2,5,3,4,6,5,5,5,2,8,4,5,7,7,2,1,4,6,6,2,1,6,5,5,8,7,8,8,6,9,6,9,1,5,4,8,5.162790698
228,4,4,2,4,5,3,6,2,5,3,5,7,2,7,2,7,4,4,6,7,5,6,1,3,2,5,4,8,8,6,4,7,5,6,6,5,1,8,6,7,6,8,9,5
229,5,2,5,5,7,3,5,1,6,1,9,6,1,6,7,3,7,4,5,4,6,3,1,1,1,6,2,3,4,5,1,7,7,7,3,4,8,7,7,3,3,2,9,4.465116279
230,9,1,3,8,4,3,5,7,3,3,1,1,1,9,2,3,5,3,3,6,7,1,1,3,1,5,1,3,4,5,6,7,4,7,7,5,6,7,4,3,1,3,9,4.186046512
231,8,6,7,8,3,3,7,7,9,4,9,3,8,4,3,6,3,7,9,6,2,6,1,3,3,6,6,7,7,7,5,7,6,6,8,4,2,3,2,3,1,5,9,5.325581395
232,4,1,6,6,4,5,7,4,3,3,7,7,2,4,6,5,9,4,4,6,2,5,5,3,6,4,2,9,6,7,6,8,6,8,9,7,1,9,6,5,2,8,9,5.348837209
233,4,1,3,8,4,3,2,2,5,3,3,7,2,4,5,2,5,3,5,6,2,1,2,3,2,2,3,5,2,6,3,6,6,7,8,5,7,8,6,3,4,7,9,4.279069767
234,3,3,6,8,3,4,2,1,5,2,4,7,2,3,6,2,6,7,5,6,2,2,1,2,3,5,4,2,3,7,5,6,6,7,5,7,3,5,7,3,1,3,9,4.255813953
235,4,4,3,2,2,4,8,2,1,1,5,7,2,4,1,6,4,4,7,6,5,6,1,3,2,6,5,8,5,6,6,7,2,5,3,4,8,6,6,6,1,6,9,4.488372093
236,3,6,1,6,7,1,4,4,6,3,7,2,3,4,1,8,3,7,7,3,5,8,6,2,1,5,4,4,2,5,2,8,6,5,9,3,9,7,6,8,7,4,9,4.906976744
237,4,7,4,3,6,2,4,1,5,1,9,1,5,9,3,9,3,5,6,5,3,7,1,2,1,3,6,6,5,5,5,8,5,5,9,4,6,2,6,7,6,3,9,4.790697674
238,4,2,4,6,6,3,8,3,2,5,8,6,4,8,3,9,5,9,4,6,9,2,1,6,2,7,4,9,5,4,6,8,8,6,9,6,9,5,8,5,6,8,9,5.744186047
