Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Average
33,7,5,6,6,7,4,1,4,5,1,7,3,4,9,1,9,5,3,6,6,5,5,8,3,2,3,4,6,4,3,7,7,7,5,2,7,9,8,3,3,7,8,9,5.209302326
34,5,4,6,9,2,2,4,1,2,2,1,1,2,7,2,9,6,6,5,3,1,2,1,1,1,3,2,5,1,2,1,8,3,5,7,6,2,7,3,6,1,6,7,3.720930233
35,7,2,6,9,3,2,4,2,2,3,4,2,3,6,3,6,4,6,5,5,2,2,5,3,2,3,4,2,4,5,2,7,5,7,9,4,7,9,4,6,6,8,9,4.627906977
36,7,2,1,6,2,1,1,8,2,2,1,1,2,5,2,4,4,4,2,4,2,2,2,4,1,5,1,1,5,4,2,6,3,5,8,5,3,7,3,2,1,8,9,3.488372093
37,3,4,6,8,6,2,2,6,2,3,4,1,4,3,1,6,3,5,4,6,2,4,5,2,2,3,4,2,4,7,7,3,6,5,7,3,8,8,4,8,6,2,9,4.418604651
38,3,8,2,5,6,1,1,6,6,1,3,1,1,8,1,6,4,5,4,4,6,8,1,3,1,1,2,5,3,5,1,3,6,5,8,5,7,2,4,7,4,6,9,4.139534884
39,3,2,6,8,2,2,4,1,5,2,3,1,2,6,1,6,5,8,6,4,1,8,1,4,2,6,6,7,1,2,2,8,3,6,4,3,6,7,6,7,1,4,9,4.209302326
40,1,3,2,2,3,1,4,1,4,1,9,4,2,9,1,5,3,1,3,7,1,1,1,3,1,2,3,2,4,6,1,6,8,4,9,6,3,8,4,2,1,6,1,3.465116279
41,3,2,4,3,4,3,4,4,3,2,6,5,1,6,1,4,7,3,4,5,4,2,1,2,1,3,5,8,1,5,3,6,6,5,5,5,9,1,1,4,2,8,9,3.953488372
42,7,1,4,4,2,5,4,2,4,1,4,3,1,8,2,5,3,2,6,7,2,2,1,2,1,2,2,1,2,5,1,7,7,6,9,7,8,5,3,5,3,4,9,3.930232558
43,4,2,3,5,2,3,3,1,6,2,3,6,4,9,3,2,5,4,3,6,2,3,5,3,1,3,2,2,8,6,2,8,5,7,2,5,5,5,3,7,1,2,9,4
44,3,8,1,8,4,1,3,2,5,2,3,1,6,2,1,7,3,6,5,3,6,9,1,3,1,2,2,4,2,3,2,8,6,5,8,5,1,7,1,8,2,7,9,4.093023256
45,2,2,3,8,2,3,4,2,6,1,3,6,1,9,6,4,8,2,4,6,2,1,2,2,4,2,3,1,5,7,2,8,3,6,3,4,8,5,4,3,1,7,9,4.046511628
46,6,6,1,6,3,2,6,4,2,1,6,1,2,4,1,9,4,3,2,4,4,1,1,1,1,2,2,1,4,3,1,6,3,6,9,5,4,9,3,2,5,3,9,3.674418605
47,2,5,3,8,2,1,2,7,2,2,4,1,2,6,1,6,5,3,4,3,1,5,1,9,1,1,2,1,2,4,2,7,3,5,7,4,3,2,4,3,3,4,9,3.534883721
