n_pairs,Pearson,Spearman
1,0.3063701093749435,0.30029058640096035
2,0.37547380247213596,0.32455684503474247
3,0.5827385125271713,0.5794764881656473
4,0.7875927303995399,0.7806331088057493
5,0.6193254754262756,0.654965327511673
6,0.7169693773607361,0.7027510007797697
7,0.7283733445673591,0.751335115032781
8,0.7575821221772345,0.7614187514729426
9,0.6923362407559076,0.7314123176140693
10,0.7610537715651922,0.7569828355898722
