representation,objective,N,pair_accuracy_mean,pair_accuracy_std,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std
clip-vit-b32,bradley_terry,1,0.7549050632911392,0.03966354146041391,0.5387713797390461,0.0875182816547731,0.4014949497260908,0.17086469291228437,0.7038248645369379,0.07951915186728142,0.6896458232080036,0.08505782816681348,0.5098796456139556,0.07532606476350394
clip-vit-b32,bradley_terry,2,0.7837706913339825,0.035496979115996884,0.4991191916167736,0.06528918616853799,0.48487085231047483,0.13741007022970073,0.7540093588987835,0.0665592337577916,0.7457073882943872,0.07270879451874146,0.5600106816072333,0.06589802253696052
clip-vit-b32,bradley_terry,3,0.7824391431353457,0.03501722738441893,0.49056979417800906,0.06264440765194491,0.49624537073493036,0.13001589461803,0.7597282296621427,0.062415149399104655,0.7489767655707307,0.07272261400431403,0.5647944615104317,0.0674879955401938
clip-vit-b32,bradley_terry,4,0.7826866277182732,0.03628675151442195,0.481144068390131,0.0654300987532249,0.5129982236141105,0.13507652550316124,0.767483172157578,0.06185451488431898,0.7528573436912562,0.07855431958801529,0.5697765828715103,0.0751770629195663
clip-vit-b32,bradley_terry,5,0.7931596884128529,0.038042275382489874,0.47205709889531133,0.05754046913679019,0.5348164251755245,0.1285122125474616,0.7779127470067349,0.06587510797208564,0.7667447709884504,0.07616283343326295,0.5833417690618169,0.07456325357396543
clip-vit-b32,bradley_terry,6,0.7946871957156767,0.0398759616151973,0.46421919837594033,0.05415764228882393,0.5459967697986762,0.12657489905917677,0.7818423489226534,0.06517308006025758,0.7725557884995837,0.07596262593391033,0.5891200615256605,0.07353664956365631
clip-vit-b32,bradley_terry,7,0.7949038461538461,0.033000750147711644,0.47075378969311715,0.05303012926912941,0.535828082818978,0.13013899261800932,0.7775944523857172,0.06882603200496781,0.7668637017389023,0.07436413163072139,0.5825560532156377,0.07002544336108872
clip-vit-b32,bradley_terry,8,0.7994847452125933,0.03513510596104265,0.4681279845535755,0.057383287576762705,0.5431162657211032,0.11648948205353372,0.783392927243888,0.06381480765473906,0.7764059027358423,0.0721022073070837,0.5931361364525723,0.06908700555291773
clip-vit-b32,bradley_terry,9,0.7983734988640052,0.037767240684084206,0.4665042579174042,0.05562321892415564,0.5446798899241445,0.13109943128902904,0.7822845130035117,0.06480091859044033,0.7708323709374644,0.07303101592737275,0.5885369191932792,0.06864610742130864
clip-vit-b32,bradley_terry,10,0.7945139565076274,0.043083090596510935,0.4644275180995464,0.05794740995433632,0.5498073671832444,0.12249211601722222,0.781708496330937,0.06970740297180118,0.7720125287844283,0.08400682996220855,0.5887547266898082,0.08023515346389842
clip-vit-b32,hinge,1,0.7507891106783512,0.03861108430341789,0.534847017377615,0.06417540044250857,0.4139365474843396,0.13929735682574004,0.7087249028770491,0.07162946630610709,0.6816433254384582,0.08492047448813807,0.5027459385470809,0.0741223228730257
clip-vit-b32,hinge,2,0.7771989613761765,0.03320670619766439,0.4965441435575485,0.05381920697940754,0.48515736799991344,0.12480714646000782,0.7489361316377376,0.06827674233125876,0.7314614979674999,0.07908312419909548,0.5468573560155541,0.06975344784882617
clip-vit-b32,hinge,3,0.7845675105485233,0.03370391816341701,0.48646950870752337,0.06447588771416486,0.5052736123117583,0.13118915517559196,0.7655958042827815,0.05871201923803626,0.7501854559336303,0.07201086242937073,0.5661036584857754,0.066153023815806
clip-vit-b32,hinge,4,0.7833544303797468,0.03430029612163564,0.473990823328495,0.06033308129341793,0.5265499229050452,0.13011723921333873,0.7703770317380252,0.06529911095545012,0.753583838345774,0.07547559409683874,0.5702470836038965,0.06978559546042852
clip-vit-b32,hinge,5,0.7902231418370659,0.03875176576943087,0.4635887645184994,0.052214689682071214,0.5484793106496157,0.12649371884837302,0.7797500092038172,0.06851119563212785,0.7624668081370369,0.07770585699211488,0.5793530637299485,0.0755636336154904
clip-vit-b32,hinge,6,0.7905732716650438,0.03849500155558219,0.46477985456585885,0.05061536622949848,0.546791804054388,0.11757938444221405,0.7815386694138218,0.06348573988608482,0.7670508999125552,0.07442803637240515,0.5836593029305118,0.0702166026943103
clip-vit-b32,hinge,7,0.794198312236287,0.035997007084333295,0.46565685123205186,0.0545388379958396,0.5450427917091706,0.13989493550944423,0.7820688890650186,0.07019235072434284,0.7653971783671245,0.0781194329106559,0.5814695236797501,0.07570784927341072
clip-vit-b32,hinge,8,0.7959449042518663,0.03686815646459644,0.46179119125008583,0.05332560236155205,0.555194634022272,0.10925299102821716,0.787094435197813,0.062439416996183404,0.7701264213642891,0.07322796290086096,0.5865708983534588,0.06975164701290462
clip-vit-b32,hinge,9,0.795195959104187,0.03786498086191851,0.46205078810453415,0.05271783322232431,0.5558270940131628,0.12240246316102607,0.7847263573548944,0.06589637519907378,0.767514813524298,0.07502526559503071,0.5855204503716283,0.07268191522116946
clip-vit-b32,hinge,10,0.791516553067186,0.041858173774598044,0.4633276753127575,0.05854676789980644,0.5503226987564906,0.13125075956565624,0.7837624671416678,0.06798644958256092,0.7670000352979145,0.08698681276439131,0.5841748855551787,0.08332392067035967
resnet50,bradley_terry,1,0.6844283511846803,0.04405558534151173,0.6257418029010295,0.08917047913173086,0.1988147066297936,0.21366646869149353,0.5452721648326769,0.10549797317848779,0.5292213498015512,0.10735951099198598,0.3727205802151882,0.0844649567120438
resnet50,bradley_terry,2,0.7196413502109704,0.0358068996440923,0.597271054983139,0.07733823998691718,0.2776232377778204,0.19126546356101426,0.6215156953927417,0.0771894251560733,0.6039388710705451,0.08645405595480496,0.4338734905853765,0.0686100662053619
resnet50,bradley_terry,3,0.7187735313209996,0.041034180193928925,0.6025214061141014,0.08636513252047923,0.2704329013823726,0.22081561016025109,0.6252673810208023,0.07780585048109662,0.6092827533207685,0.09057885555539012,0.43558557446354146,0.07095184868895857
resnet50,bradley_terry,4,0.7263189711132749,0.035598938871396174,0.5760670460760593,0.06920630407791603,0.33101685014335436,0.1918770444368085,0.6522620373170164,0.07380674177445419,0.6319132379002633,0.08642036139771217,0.4570283960104559,0.07013532910214508
resnet50,bradley_terry,5,0.7301111652061019,0.03776384638167857,0.5832457974553108,0.07206890966754576,0.3183282192728504,0.1860314186906499,0.6481760747788975,0.07274854919623545,0.6301073085943798,0.09230624930477423,0.4570415776064891,0.07271059937557742
resnet50,bradley_terry,6,0.7289869360597209,0.038793799141540054,0.5678490087389946,0.0674378797715713,0.34392046541908533,0.2165948348406864,0.6638955528199725,0.0813325023133039,0.644110242560412,0.09456618264974526,0.4693304881458131,0.07547884267646895
resnet50,bradley_terry,7,0.7306483284647841,0.04039128088565686,0.5787973493337631,0.06824841638727609,0.32467516457466816,0.19203634776048487,0.6581129828322128,0.07554272781898741,0.6403564465567368,0.09285424877376665,0.46511586311826675,0.0742645860886138
resnet50,bradley_terry,8,0.7330862544628367,0.04031776064079734,0.5768280602991581,0.07374832807023438,0.3265609225853601,0.19778975652144967,0.6580730502807703,0.07080527117331342,0.638060428699162,0.0866056397154733,0.46369400120629045,0.07002608738030146
resnet50,bradley_terry,9,0.7351785134696527,0.03575961100350381,0.5754785865545273,0.06953001594184492,0.3335470196114617,0.20700271464255307,0.6586178475823066,0.07463568132001562,0.6395454713307889,0.09032656470722888,0.4646151362447887,0.07173927677750702
resnet50,bradley_terry,10,0.7349131775397598,0.03199107018920624,0.5693113230168819,0.07075332803755041,0.34388878518401716,0.18144999862354944,0.6608619887032712,0.07200290144130612,0.6423076034488021,0.08739877530458788,0.46787856082305657,0.06948895989212425
resnet50,hinge,1,0.6832887049659202,0.05020324695683276,0.6349034808576107,0.07414569833552935,0.18364038888867906,0.2096725762588043,0.5381291050451862,0.12538077126267083,0.5231265066285121,0.12272857853772728,0.37067001200702937,0.09568067200190215
resnet50,hinge,2,0.7182006653683869,0.0355124450757713,0.5995260961353779,0.08134592565648442,0.27214529625759665,0.19886746515349224,0.6205588558638803,0.07221741934932938,0.5989767396713372,0.08735098867217833,0.43009730678319585,0.06813402369844844
resnet50,hinge,3,0.7203704154495294,0.04080760674230364,0.594823407381773,0.08627141090691375,0.28805484956428395,0.22258537301593892,0.6356851913683286,0.077072824388315,0.6144930628851285,0.09164933771805263,0.44058831234734414,0.07286446162219028
resnet50,hinge,4,0.7244068484258357,0.03354319000114473,0.5775549307465553,0.07264772673705265,0.3231889650007493,0.2075399574688254,0.6542917909081777,0.0783388115660908,0.6338722986249191,0.08617635167437011,0.4588723075410136,0.0686303370374073
resnet50,hinge,5,0.7297894352482961,0.038262156948961956,0.5747746124863624,0.06746605863873616,0.3329029623067993,0.17299585939669784,0.654002818791431,0.07210539451864292,0.6307062321990232,0.09072346183690295,0.456649411700209,0.07180190563169811
resnet50,hinge,6,0.7265197987666342,0.04103312244414173,0.5715609431266785,0.0681390206141188,0.3384366271400351,0.2117619035145053,0.6611749613186488,0.08102814921145989,0.6379015030725979,0.09629387605202913,0.46301818474689593,0.07732846672085529
resnet50,hinge,7,0.7287658227848101,0.04002845307095737,0.5711791910231113,0.06713542296097179,0.34129332977616256,0.19038390478263914,0.66432065306547,0.07605837045783478,0.6404192828589739,0.09350275511671652,0.46351982921824764,0.07407481025713891
resnet50,hinge,8,0.7358755274261604,0.03878436373837895,0.5713542185723781,0.0744717426115316,0.32997642270193234,0.22912348299568072,0.6617744873167954,0.07294044580984789,0.6397710581782917,0.0870812245196511,0.46422283528494956,0.06891912487062926
resnet50,hinge,9,0.7335471437844856,0.03284191458202571,0.5726122498512268,0.0686682246917209,0.3362381338143804,0.1885591560040558,0.6545616147241168,0.07812084670613989,0.637260595202567,0.08812783749971441,0.4629271436575436,0.07122478624716713
resnet50,hinge,10,0.7342011522233041,0.03498415166074474,0.566691804677248,0.07078291441017777,0.3457655987779889,0.18980776484101702,0.6646354887928997,0.07545765858505271,0.6419669748078524,0.09246594881650369,0.46810779167337424,0.07492751148276731
