representation,target,metric,mean_hinge,mean_bradley_terry,difference_bradley_terry_minus_hinge,bradley_terry_wins
clip-vit-b32,Abstract Beauty,pair_accuracy,0.7780632911392406,0.779873417721519,0.0018101265822784152,True
clip-vit-b32,Abstract Liking,pair_accuracy,0.7447974683544304,0.7486835443037976,0.003886075949367185,True
clip-vit-b32,Representational Beauty,pair_accuracy,0.8055897435897436,0.8076666666666666,0.0020769230769230873,True
clip-vit-b32,Representational Liking,pair_accuracy,0.812974358974359,0.8153461538461538,0.002371794871794841,True
clip-vit-b32,Abstract Beauty,mae,0.5453724464774132,0.5603313758969307,0.014958929419517486,False
clip-vit-b32,Abstract Liking,mae,0.4554678955674171,0.4547408378124237,-0.0007270577549934321,True
clip-vit-b32,Representational Beauty,mae,0.44880600929260256,0.4476978325843811,-0.0011081767082214422,True
clip-vit-b32,Representational Liking,mae,0.4595722958445549,0.4635076662898064,0.003935370445251496,False
clip-vit-b32,Abstract Beauty,r2,0.5000757300882398,0.47027687054155515,-0.029798859546684653,False
clip-vit-b32,Abstract Liking,r2,0.39719686341584315,0.3965102160020578,-0.000686647413785324,False
clip-vit-b32,Representational Beauty,r2,0.5815011131833782,0.5834237701933884,0.0019226570100102647,True
clip-vit-b32,Representational Liking,r2,0.6142566068750015,0.6097308220659096,-0.004525784809091937,False
clip-vit-b32,Abstract Beauty,pearson,0.7649868226526314,0.7554233083457399,-0.009563514306891507,False
clip-vit-b32,Abstract Liking,pearson,0.6909369823842724,0.6924017203576224,0.0014647379733500054,True
clip-vit-b32,Representational Beauty,pearson,0.8024268967113195,0.8015831702530509,-0.0008437264582685788,False
clip-vit-b32,Representational Liking,pearson,0.8186791774168273,0.8185042451031405,-0.00017493231368681528,False
clip-vit-b32,Abstract Beauty,spearman,0.7381720377627049,0.7405086184864804,0.0023365807237755165,True
clip-vit-b32,Abstract Liking,spearman,0.6624789460483059,0.6708635082817852,0.008384562233479276,True
clip-vit-b32,Representational Beauty,spearman,0.7937375906206862,0.7978884471095814,0.004150856488895238,True
clip-vit-b32,Representational Liking,spearman,0.8121835352837352,0.8157803799017727,0.0035968446180374425,True
clip-vit-b32,Abstract Beauty,kendall,0.556117348554845,0.5578690944176515,0.0017517458628065752,True
clip-vit-b32,Abstract Liking,kendall,0.4860562111809225,0.4930452792600652,0.00698906807914268,True
clip-vit-b32,Representational Beauty,kendall,0.6095359766123102,0.6136758451285068,0.004139868516196632,True
clip-vit-b32,Representational Liking,kendall,0.6229713281610356,0.6273725962905387,0.004401268129503033,True
resnet50,Abstract Beauty,pair_accuracy,0.7118227848101266,0.7133544303797469,0.0015316455696202658,True
resnet50,Abstract Liking,pair_accuracy,0.6842531645569621,0.6845443037974683,0.0002911392405062774,True
resnet50,Representational Beauty,pair_accuracy,0.7438205128205128,0.7454230769230769,0.0016025641025640969,True
resnet50,Representational Liking,pair_accuracy,0.7540897435897436,0.7535128205128205,-0.0005769230769230305,False
resnet50,Abstract Beauty,mae,0.6760213935375213,0.6786097395420074,0.0025883460044860973,False
resnet50,Abstract Liking,mae,0.5478675985336303,0.549616197347641,0.0017485988140106823,False
resnet50,Representational Beauty,mae,0.5501667493581772,0.5465705540776252,-0.0035961952805519948,True
resnet50,Representational Liking,mae,0.5599366325139999,0.5664480832219124,0.006511450707912481,False
resnet50,Abstract Beauty,r2,0.2545794492596896,0.25113634431953585,-0.0034431049401537628,False
resnet50,Abstract Liking,r2,0.15543158503107418,0.15235912565236392,-0.003072459378710257,False
resnet50,Representational Beauty,r2,0.3907031721966067,0.3964701462020785,0.00576697400547177,True
resnet50,Representational Liking,r2,0.4359428232040725,0.4275576928583352,-0.00838513034573729,False
resnet50,Abstract Beauty,pearson,0.6234013848062399,0.6209875304691082,-0.0024138543371317045,False
resnet50,Abstract Liking,pearson,0.5675307122215852,0.5646510477916852,-0.002879664429900064,False
resnet50,Representational Beauty,pearson,0.6765646039088072,0.6784826273670406,0.001918023458233331,True
resnet50,Representational Liking,pearson,0.6961572859413414,0.6927007045964334,-0.003456581344908005,False
resnet50,Abstract Beauty,spearman,0.5911796096269883,0.5943771040268478,0.003197494399859502,True
resnet50,Abstract Liking,spearman,0.5172585176794096,0.517893561673243,0.0006350439938334063,True
resnet50,Representational Beauty,spearman,0.6735418523229967,0.6763011903125341,0.002759337989537425,True
resnet50,Representational Liking,spearman,0.6974177220222866,0.694965629300739,-0.0024520927215475607,False
resnet50,Abstract Beauty,kendall,0.42562006665133706,0.42844742680252923,0.002827360151192171,True
resnet50,Abstract Liking,kendall,0.36825136551570553,0.3688878878114897,0.0006365222957841477,True
resnet50,Representational Beauty,kendall,0.4897419596008835,0.4920459431896594,0.002303983588775871,True
resnet50,Representational Liking,kendall,0.5078558622159951,0.5053722095640283,-0.0024836526519668167,False
