objective,target,metric,mean_resnet50,mean_clip-vit-b32,difference_clip-vit-b32_minus_resnet50,clip-vit-b32_wins
hinge,Abstract Beauty,pair_accuracy,0.7118227848101266,0.7780632911392406,0.06624050632911394,True
hinge,Abstract Liking,pair_accuracy,0.6842531645569621,0.7447974683544304,0.060544303797468335,True
hinge,Representational Beauty,pair_accuracy,0.7438205128205128,0.8055897435897436,0.0617692307692308,True
hinge,Representational Liking,pair_accuracy,0.7540897435897436,0.812974358974359,0.058884615384615424,True
hinge,Abstract Beauty,mae,0.6760213935375213,0.5453724464774132,-0.1306489470601081,True
hinge,Abstract Liking,mae,0.5478675985336303,0.4554678955674171,-0.09239970296621319,True
hinge,Representational Beauty,mae,0.5501667493581772,0.44880600929260256,-0.10136074006557466,True
hinge,Representational Liking,mae,0.5599366325139999,0.4595722958445549,-0.10036433666944505,True
hinge,Abstract Beauty,r2,0.2545794492596896,0.5000757300882398,0.24549628082855018,True
hinge,Abstract Liking,r2,0.15543158503107418,0.39719686341584315,0.24176527838476897,True
hinge,Representational Beauty,r2,0.3907031721966067,0.5815011131833782,0.19079794098677144,True
hinge,Representational Liking,r2,0.4359428232040725,0.6142566068750015,0.17831378367092898,True
hinge,Abstract Beauty,pearson,0.6234013848062399,0.7649868226526314,0.14158543784639155,True
hinge,Abstract Liking,pearson,0.5675307122215852,0.6909369823842724,0.12340627016268713,True
hinge,Representational Beauty,pearson,0.6765646039088072,0.8024268967113195,0.12586229280251227,True
hinge,Representational Liking,pearson,0.6961572859413414,0.8186791774168273,0.12252189147548587,True
hinge,Abstract Beauty,spearman,0.5911796096269883,0.7381720377627049,0.14699242813571656,True
hinge,Abstract Liking,spearman,0.5172585176794096,0.6624789460483059,0.14522042836889637,True
hinge,Representational Beauty,spearman,0.6735418523229967,0.7937375906206862,0.12019573829768948,True
hinge,Representational Liking,spearman,0.6974177220222866,0.8121835352837352,0.11476581326144863,True
hinge,Abstract Beauty,kendall,0.42562006665133706,0.556117348554845,0.1304972819035079,True
hinge,Abstract Liking,kendall,0.36825136551570553,0.4860562111809225,0.11780484566521698,True
hinge,Representational Beauty,kendall,0.4897419596008835,0.6095359766123102,0.11979401701142667,True
hinge,Representational Liking,kendall,0.5078558622159951,0.6229713281610356,0.11511546594504052,True
bradley_terry,Abstract Beauty,pair_accuracy,0.7133544303797469,0.779873417721519,0.06651898734177208,True
bradley_terry,Abstract Liking,pair_accuracy,0.6845443037974683,0.7486835443037976,0.06413924050632924,True
bradley_terry,Representational Beauty,pair_accuracy,0.7454230769230769,0.8076666666666666,0.06224358974358979,True
bradley_terry,Representational Liking,pair_accuracy,0.7535128205128205,0.8153461538461538,0.061833333333333296,True
bradley_terry,Abstract Beauty,mae,0.6786097395420074,0.5603313758969307,-0.11827836364507671,True
bradley_terry,Abstract Liking,mae,0.549616197347641,0.4547408378124237,-0.09487535953521731,True
bradley_terry,Representational Beauty,mae,0.5465705540776252,0.4476978325843811,-0.09887272149324411,True
bradley_terry,Representational Liking,mae,0.5664480832219124,0.4635076662898064,-0.10294041693210604,True
bradley_terry,Abstract Beauty,r2,0.25113634431953585,0.47027687054155515,0.2191405262220193,True
bradley_terry,Abstract Liking,r2,0.15235912565236392,0.3965102160020578,0.2441510903496939,True
bradley_terry,Representational Beauty,r2,0.3964701462020785,0.5834237701933884,0.18695362399130994,True
bradley_terry,Representational Liking,r2,0.4275576928583352,0.6097308220659096,0.18217312920757434,True
bradley_terry,Abstract Beauty,pearson,0.6209875304691082,0.7554233083457399,0.13443577787663175,True
bradley_terry,Abstract Liking,pearson,0.5646510477916852,0.6924017203576224,0.1277506725659372,True
bradley_terry,Representational Beauty,pearson,0.6784826273670406,0.8015831702530509,0.12310054288601036,True
bradley_terry,Representational Liking,pearson,0.6927007045964334,0.8185042451031405,0.12580354050670706,True
bradley_terry,Abstract Beauty,spearman,0.5943771040268478,0.7405086184864804,0.14613151445963257,True
bradley_terry,Abstract Liking,spearman,0.517893561673243,0.6708635082817852,0.15296994660854224,True
bradley_terry,Representational Beauty,spearman,0.6763011903125341,0.7978884471095814,0.1215872567970473,True
bradley_terry,Representational Liking,spearman,0.694965629300739,0.8157803799017727,0.12081475060103364,True
bradley_terry,Abstract Beauty,kendall,0.42844742680252923,0.5578690944176515,0.1294216676151223,True
bradley_terry,Abstract Liking,kendall,0.3688878878114897,0.4930452792600652,0.12415739144857552,True
bradley_terry,Representational Beauty,kendall,0.4920459431896594,0.6136758451285068,0.12162990193884743,True
bradley_terry,Representational Liking,kendall,0.5053722095640283,0.6273725962905387,0.12200038672651037,True
