Metric,Value
R2 Score,-0.07271319262803888
Adjusted R2 Score,-0.12081692323916182
Mean Absolute Error,2.077616816911942
Mean Squared Error,5.955462443687915
Pearson Correlation,-0.03289493477997758
Spearman Correlation,-0.05215107922117687
