Rater,mae,r2,rho,rs
1,2.33337710722178,0.0044186784148723905,0.23469095028820863,0.21569752833015898
2,1.1003162348536855,-0.08489304805649713,0.06470155201598397,0.07617356982829775
3,0.8777175431313406,-0.11018304059735988,0.005477038816199727,0.00021001212937183517
4,1.9999764827071183,-0.09250978278846715,0.012835938610176479,0.01472123748913794
5,1.5727909549990078,-0.05222970949300119,0.1414924231474098,0.11356831143573225
