representation,objective,N,pair_accuracy_mean,pair_accuracy_std,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std
clip-vit-b32,bradley_terry,1,0.6600126518218623,0.051429141285166236,0.6758795186877251,0.08940372206338147,0.0605088244516358,0.1787200854467402,0.4726686334284473,0.11504257155340074,0.45663594889055537,0.12315884046764324,0.3192690038517023,0.09155533543495555
clip-vit-b32,bradley_terry,2,0.6702783400809716,0.044165728392151854,0.6577693596482277,0.0989818111741174,0.09806415012126232,0.1797501304973098,0.5085979555931914,0.10502836249941185,0.49210303965922986,0.10537368898032606,0.34751129762301664,0.07659888195114972
clip-vit-b32,bradley_terry,3,0.6859050269905533,0.03881569068091196,0.6532063469290733,0.07839736836738417,0.1202777489086672,0.1856517580846422,0.5290351011350886,0.09116383629534466,0.5205538105428693,0.0922169009354139,0.3661702790458178,0.068556259110337
clip-vit-b32,bradley_terry,4,0.6890106275303645,0.031395728305487196,0.6505326628684998,0.07733679171203972,0.12822042652847013,0.16946540349241887,0.5486532516614855,0.0784355009084526,0.5266136915177408,0.08773807691116377,0.3740641434593534,0.06666562735260029
clip-vit-b32,bradley_terry,5,0.6908316464237517,0.032839089633062236,0.6382718317210674,0.07646533257680825,0.1554351139859473,0.18604699866406565,0.5412172955389988,0.08417257848129892,0.5261472094105689,0.08476335578395668,0.3730809732120477,0.06404544453859362
clip-vit-b32,bradley_terry,6,0.6934859986504723,0.03388574208368275,0.6309643879532814,0.08049195071854157,0.17452088122488024,0.14930538443939287,0.5545687512869619,0.08290114588303549,0.5420798343218097,0.08606562983423607,0.38808145951199396,0.06480141366529907
clip-vit-b32,bradley_terry,7,0.6942729419703104,0.03764294268049016,0.6249300867319107,0.07482607181662143,0.18004501086928754,0.17945193479906135,0.5627843882623665,0.09242434564467353,0.5478825744094251,0.09407615727620003,0.3904803712170676,0.07199693354601427
clip-vit-b32,bradley_terry,8,0.695748987854251,0.03319010411304694,0.6296779230237007,0.080535945497267,0.16270617872406523,0.1732893176483506,0.5648330485479462,0.08246592937463368,0.5519312430876124,0.08392573411931659,0.39374228366477837,0.06436478156529703
clip-vit-b32,bradley_terry,9,0.6946364709851551,0.0334600864283745,0.62254019677639,0.07216433881161939,0.1946027865889174,0.14875248778888356,0.5587286534474571,0.08125633115931914,0.5467866512591721,0.08390643358267638,0.3911497751063202,0.06278668614598311
clip-vit-b32,bradley_terry,10,0.6992383603238866,0.03685789824678723,0.6158712014555932,0.07887478981623258,0.19888180655350896,0.18464473237993412,0.5699665362715297,0.09244764639922601,0.5520094422800972,0.09057496005729695,0.39540445700577126,0.070921761970185
clip-vit-b32,hinge,1,0.6593539136302294,0.04531886119121851,0.6774905472993851,0.08755616540222656,0.058786512075960584,0.18473319711794933,0.47224615097992456,0.10394457985547952,0.4586115429216998,0.10868504436125594,0.32071784940335946,0.07978500230204438
