Pair,Acc,Kappa
GT/P1,0.57,0.00
GT/P2,0.00,0.00
GT/P3,0.44,0.00
GT/P4,0.60,0.20
GT/P5,0.38,-0.25
GT/P6,0.33,-0.42
P1/P2,0.00,0.00
P1/P3,1.00,1.00
P1/P4,0.71,0.00
P1/P5,0.80,0.00
P1/P6,0.67,0.00
P2/P3,0.00,0.00
P2/P4,0.00,0.00
P2/P5,0.00,0.00
P2/P6,0.00,0.00
P3/P4,0.78,0.00
P3/P5,1.00,1.00
P3/P6,0.88,0.00
P4/P5,0.88,0.60
P4/P6,0.78,0.36
P5/P6,1.00,1.00
