Pair,Acc,Kappa
P1/P3,0.75,0.38
P1/P4,0.44,0.15
P1/P5,0.56,0.25
P1/P6,0.44,0.15
P3/P4,0.67,0.37
P3/P5,0.67,0.37
P3/P6,0.67,0.37
P4/P5,1.00,1.00
P4/P6,1.00,1.00
P5/P6,0.90,0.74
