Pair,Acc,Kappa
P1/P3,0.86,0.59
P1/P4,0.43,0.13
P1/P5,0.33,0.00
P1/P6,0.57,0.22
P3/P4,0.78,0.53
P3/P5,0.75,0.50
P3/P6,0.89,0.77
P4/P5,0.88,0.60
P4/P6,0.88,0.60
P5/P6,1.00,1.00
