Pair,Acc,Kappa
P1/P3,0.44,0.00
P1/P4,0.67,0.37
P1/P5,0.56,0.18
P1/P6,0.75,0.53
P3/P4,1.00,1.00
P3/P5,1.00,nan
P3/P6,1.00,nan
P4/P5,0.75,0.00
P4/P6,1.00,1.00
P5/P6,1.00,1.00
