Metric,Value
R2 Score,0.7618010499600889
Adjusted R2 Score,0.7331023812805815
Mean Absolute Error,0.24504915693972976
Mean Squared Error,0.1984224669895405
Pearson Correlation,0.8747235217979099
Spearman Correlation,0.8209004347335518
