n_pairs,Pearson,Spearman
3,0.987634188440102,0.8171155063516194
4,0.9997934223144996,0.8108046856719844
5,0.9999763743909644,0.6661246611570121
6,0.9999987651407249,0.6479362634545205
7,0.999999827278919,0.6579535208802848
8,0.9999998456330363,0.5740435276824439
9,0.9999997696700149,0.565045659894944
10,0.9999854216780062,0.47321457595614913
