Pair,Acc,Kappa
GT/P1,0.60,0.29
GT/P2,0.40,-0.36
GT/P3,0.40,-0.15
GT/P4,0.20,-0.67
GT/P5,0.40,-0.36
GT/P6,0.60,0.17
P1/P2,0.40,0.12
P1/P3,0.40,-0.36
P1/P4,0.20,-0.43
P1/P5,0.40,0.12
P1/P6,0.60,0.29
P2/P3,0.60,0.29
P2/P4,0.80,0.55
P2/P5,1.00,1.00
P2/P6,0.80,0.55
P3/P4,0.80,0.62
P3/P5,0.60,0.29
P3/P6,0.80,0.62
P4/P5,0.80,0.55
P4/P6,0.60,0.17
P5/P6,0.80,0.55
