Pair,Acc,Kappa
GT/P1,0.56,0.05
GT/P2,0.00,0.00
GT/P3,0.67,0.34
GT/P4,0.30,-0.40
GT/P5,0.40,-0.20
GT/P6,0.33,-0.23
P1/P2,0.00,0.00
P1/P3,0.62,0.14
P1/P4,0.44,0.15
P1/P5,0.56,0.25
P1/P6,0.38,0.09
P2/P3,0.00,0.00
P2/P4,0.00,0.00
P2/P5,0.00,0.00
P2/P6,0.00,0.00
P3/P4,0.67,0.37
P3/P5,0.67,0.37
P3/P6,0.62,0.25
P4/P5,0.90,0.74
P4/P6,1.00,1.00
P5/P6,0.89,0.61
