Pair,Acc,Kappa
GT/P1,0.20,-0.60
GT/P2,0.00,0.00
GT/P3,0.44,0.00
GT/P4,0.22,-0.47
GT/P5,0.33,-0.23
GT/P6,0.33,-0.35
P1/P2,0.00,0.00
P1/P3,0.44,0.00
P1/P4,0.67,0.37
P1/P5,0.44,-0.22
P1/P6,0.67,0.34
P2/P3,0.00,0.00
P2/P4,0.00,0.00
P2/P5,0.00,0.00
P2/P6,0.00,0.00
P3/P4,0.78,0.00
P3/P5,1.00,1.00
P3/P6,0.62,0.00
P4/P5,0.75,0.00
P4/P6,0.88,0.71
P5/P6,0.62,0.25
