Pair,Acc,Kappa
P1/P2,0.60,-0.25
P1/P3,0.60,-0.25
P1/P4,0.60,-0.25
P1/P5,0.20,0.00
P1/P6,0.40,-0.36
P2/P3,0.60,-0.25
P2/P4,1.00,1.00
P2/P5,0.20,0.00
P2/P6,0.80,0.55
P3/P4,0.60,-0.25
P3/P5,0.20,0.00
P3/P6,0.40,-0.36
P4/P5,0.20,0.00
P4/P6,0.80,0.55
P5/P6,0.40,0.00
