Metric,Value,P-Value
MSE,0.5847883224487305,
MAE,0.6440446972846985,
Adjusted R²,0.4662498840839836,
Pearson Correlation,0.72320938275792,6.401577301174314e-09
Spearman Correlation,0.7167015139822701,1.0098675151859227e-08
