Metric,Value,P-Value
MSE,4.702419281005859,
MAE,1.7939685583114624,
Adjusted R²,-0.017805060708213416,
Pearson Correlation,-0.06205131840150892,0.6752335595505381
Spearman Correlation,0.0021608843004365854,0.9883701125946605
