Task,P1,P2,P3,P4,P5,P6,GT_A,GT_B
Q11,B,A,A,A,A,A,4.68,4.43
Q12,B,A,A,A,A,A,4.37,6.17
Q13,A,A,B,B,A,A,4.73,4.15
Q14,B,B,B,B,B,B,4.95,4.31
Q15,B,A,B,A,A,B,4.31,5.68
