Metric,Value
R2 Score,0.5710504343475791
Adjusted R2 Score,0.5205857795649413
Mean Absolute Error,0.2988643670916557
Mean Squared Error,0.37083768651385834
Pearson Correlation,0.7696894936480704
Spearman Correlation,0.7953828588816383
