Rater,Avg_Acc,Avg_Kappa,Num_Pairs
GT,0.331,-0.062,6
P1,0.407,0.184,5
P2,0.000,0.000,5
P3,0.643,0.446,5
P4,0.556,0.292,5
P5,0.533,0.313,5
P6,0.607,0.360,5
