Rater,Painting,Liking
1,1.jpg,6
1,2.jpg,4
1,3.jpg,4
1,4.jpg,5
1,5.jpg,6
1,6.jpg,5
1,7.jpg,4
1,8.jpg,1
1,9.jpg,2
1,10.jpg,3
1,11.jpg,8
1,12.jpg,3
1,13.jpg,5
1,14.jpg,3
1,15.jpg,3
1,16.jpg,7
1,17.jpg,7
1,18.jpg,8
1,19.jpg,7
1,20.jpg,3
1,21.jpg,2
1,22.jpg,3
1,23.jpg,1
1,24.jpg,3
1,25.jpg,8
1,26.jpg,4
1,27.jpg,6
1,28.jpg,8
1,29.jpg,6
1,30.jpg,4
1,31.jpg,6
1,32.jpg,5
1,33.jpg,2
1,34.jpg,7
1,35.jpg,5
1,36.jpg,7
1,37.jpg,7
1,38.jpg,3
1,39.jpg,3
1,40.jpg,3
1,41.jpg,1
1,42.jpg,3
1,43.jpg,7
1,44.jpg,4
1,45.jpg,3
1,46.jpg,2
1,47.jpg,6
1,48.jpg,2
1,49.jpg,4
1,50.jpg,4
1,51.jpg,9
1,52.jpg,8
1,53.jpg,3
1,54.jpg,4
1,55.jpg,7
1,56.jpg,4
1,57.jpg,8
1,58.jpg,7
1,59.jpg,1
1,60.jpg,2
1,61.jpg,5
1,62.jpg,5
1,63.jpg,6
1,64.jpg,8
1,65.jpg,1
1,66.jpg,3
1,67.jpg,3
1,68.jpg,3
1,69.jpg,4
1,70.jpg,4
1,71.jpg,3
1,72.jpg,5
1,73.jpg,7
1,74.jpg,3
1,75.jpg,7
1,76.jpg,6
1,77.jpg,6
1,78.jpg,7
1,79.jpg,5
1,80.jpg,6
1,81.jpg,7
1,82.jpg,3
1,83.jpg,7
1,84.jpg,7
1,85.jpg,3
1,86.jpg,8
1,87.jpg,7
1,88.jpg,8
1,89.jpg,5
1,90.jpg,2
1,91.jpg,3
1,92.jpg,6
1,93.jpg,5
1,94.jpg,6
1,95.jpg,2
1,96.jpg,4
1,97.jpg,4
1,98.jpg,6
1,99.jpg,5
1,100.jpg,2
1,101.jpg,4
1,102.jpg,4
1,103.jpg,6
1,104.jpg,5
1,105.jpg,4
1,106.jpg,7
1,107.jpg,3
1,108.jpg,3
1,109.jpg,8
1,110.jpg,6
1,111.jpg,3
1,112.jpg,7
