Painting,Representational,BeautyRating_M,BeautyRating_SD,Liking_M,Liking_SD,Saturation,Brightness,HueSD,SaturationSD,BrightnessSD,RedLum,GreenLum,BlueLum,Luminance,AdjustedRedLum,AdjustedGreenLum,AdjustedBlueLum,Entropy,StraightEdgeDensity,NonStraightEdgeDensity,Meaningfulness,Complexity,Emotion,ColourWarmth,Vertical_Symmetry,Horizontal_Symmetry,Average_Symmetry,VerticalGrayscale_Symmetry,HorizontalGrayscale_Symmetry,AverageGrayscale_Symmetry,ColourComponent,Beauty
1.jpg,1,3.55,1.863615095584331,3.5319,2.1146,0.293747161231498,0.471046537458914,0.925691317897426,0.129375683541084,0.112242882025517,108.85,115.24,90.49,110.53,0.9848005066497784,1.0426128652854427,0.8186917578937845,6.62615771311493,0.03787807067971,0.0357823459869566,4.021739130434782,4.153846153846154,3.9166666666666665,5.673913043478261,0.9397,0.9178,0.9288,0.949,0.9441,0.9466,0.546186077,3.0
2.jpg,1,4.29,2.211380582720363,3.9148,2.1852,0.095078397010128,0.299672774027644,1.55626976326122,0.0980450189569158,0.0774536729760738,74.1,74.22,71.93,73.92,1.0024350649350648,1.0040584415584417,0.9730790043290044,6.30409724250593,0.0330706067042802,0.0546002266290531,5.695652173913044,4.538461538461538,5.229166666666667,2.239130434782609,0.951,0.9341,0.9425,0.9546,0.9373,0.9459,0.516717186,3.0
3.jpg,1,3.53,1.8758399479177537,3.3829,2.5156,0.251864922985472,0.61448648591512,0.0486714933229024,0.0383802720715256,0.0868046745783499,156.7,139.62,117.4,142.2,1.10196905766526,0.9818565400843884,0.8255977496483826,6.07488825986917,0.0158879404830918,0.0727953928502415,3.5869565217391304,3.25,3.7291666666666665,3.239130434782609,0.9909,0.9873,0.9891,0.9913,0.9878,0.9896,-0.115383623,8.0
4.jpg,1,3.69,1.8739895236350383,3.6808,2.3229,0.163391192511041,0.46296043158004,1.18626637321303,0.188129235060867,0.115611302314373,116.98,110.34,103.89,111.53,1.048865776024388,0.9893302250515555,0.9314982515915,6.48918027180629,0.0151337515796698,0.0672558317536636,4.021739130434782,3.1346153846153846,3.5833333333333335,3.4565217391304346,0.9812,0.9173,0.9492,0.9817,0.9251,0.9534,0.239382396,3.0
5.jpg,1,3.29,1.5681784571500106,3.0851,2.2537,0.196179393480303,0.457703183091419,0.752671822074318,0.12379452659175,0.114988570214393,115.27,108.63,94.99,109.08,1.0567473414008066,0.9958745874587458,0.8708287495416208,6.20929853237757,0.0262875390926852,0.0411843359073148,3.6739130434782608,3.0,3.5416666666666665,3.4347826086956523,0.9391,0.9357,0.9374,0.942,0.9426,0.9423,0.160377321,2.0
6.jpg,1,3.16,1.769238277234769,3.4893,2.3393,0.231688087723381,0.59375282299221,0.820040050692775,0.111488747467201,0.0719171647602987,142.29,137.76,118.99,139.09,1.0230066863182112,0.9904378459989932,0.8554892515637357,6.04870996192957,0.0480620129477358,0.0465077787189309,3.9565217391304346,3.692307692307693,3.5833333333333335,4.456521739130435,0.9901,0.9823,0.9862,0.9937,0.9921,0.9929,0.191929953,4.0
7.jpg,1,3.59,1.9366497476048576,3.4255,2.4204,0.145546951789703,0.47243414071511,1.36149552183444,0.103577775509942,0.12409589317362,115.09,114.3,110.59,114.07,1.0089418777943369,1.0020163057771545,0.9694924169369686,6.29373911845037,0.0180830655992515,0.0500481844007485,4.543478260869565,3.519230769230769,4.895833333333333,2.630434782608696,0.9905,0.9471,0.9688,0.9908,0.9509,0.9708,0.481583355,4.0
8.jpg,1,3.73,2.1928455095084627,3.3617,2.5145,0.0,0.327693708083756,0.0,0.0,0.234723368234031,83.56,83.56,83.56,83.56,1.0,1.0,1.0,7.55901544273904,0.023278574557493,0.110058925442507,4.782608695652174,4.519230769230769,4.854166666666667,2.391304347826087,0.7044,0.6797,0.692,0.7044,0.6797,0.692,0.542056257,3.0
9.jpg,1,4.02,1.766929771192543,3.3191,1.9902,0.182018224609941,0.292753011204482,1.02285086531619,0.0891065289012681,0.0971909059152898,67.21,72.59,65.01,70.13,0.9583630400684444,1.0350777128190505,0.926992727791245,6.56148168275093,0.0121162555749587,0.153897286091708,4.1521739130434785,4.038461538461538,4.270833333333333,3.9565217391304346,0.8898,0.9109,0.9004,0.8948,0.9166,0.9057,0.744635796,3.0
10.jpg,1,3.37,2.050385727772474,3.4893,2.4748,0.408245690959773,0.248201827094475,0.704925825203031,0.193863162659762,0.162945932200065,62.6,52.07,33.78,53.16,1.1775771256583898,0.9794958615500376,0.6354401805869075,6.85087662923942,0.0335855158791586,0.114322817454175,4.739130434782608,5.038461538461538,4.4375,3.760869565217391,0.7966,0.7303,0.7635,0.8029,0.7383,0.7706,-0.634131319,2.0
11.jpg,1,4.06,1.851750412943584,4.0212,2.5323,0.168668399340582,0.217549666020255,1.10984830838834,0.150781018398001,0.172926018147153,52.78,54.56,50.09,53.51,0.9863576901513736,1.0196225004672024,0.9360867127639696,6.44186087620929,0.0122408169785486,0.129812308021451,3.5652173913043477,4.211538461538462,4.229166666666667,2.9130434782608696,0.7976,0.6751,0.7364,0.8027,0.6828,0.7427,0.592902712,7.0
12.jpg,1,3.92,1.9939705031286044,4.2978,2.2449,0.196103528714241,0.3923063154096,1.76623369903871,0.102542515109215,0.168916142337691,92.87,91.68,86.45,91.44,1.0156386701662292,1.0026246719160106,0.9454286964129484,7.03513603347129,0.0156691836635704,0.11250581633643,4.173913043478261,3.807692307692307,3.9375,3.717391304347826,0.9296,0.8941,0.9119,0.9338,0.8951,0.9144,0.428933267,5.0
13.jpg,1,4.16,1.77694992062471,4.3617,2.0368,0.310055837642165,0.367916223826346,1.55954155166324,0.134881071750696,0.227360513065439,79.91,83.04,60.98,81.87,0.9760596066935384,1.0142909490655918,0.7448393795040917,6.98423994199094,0.0170863795634062,0.10185528710326,4.586956521739131,4.423076923076923,3.7291666666666665,4.717391304347826,0.9003,0.6858,0.793,0.9013,0.7105,0.8059,0.280688721,7.0
14.jpg,1,4.8,2.390457218668787,4.5957,2.7714,0.420831476495364,0.383776687358361,1.02602565131907,0.213513816664122,0.247925093316737,95.45,84.47,57.57,84.74,1.1263865942884117,0.996813783337267,0.6793721973094171,7.63062402136323,0.0735497773228773,0.0624783476771227,5.695652173913044,7.173076923076923,5.229166666666667,5.086956521739131,0.7151,0.681,0.698,0.7149,0.682,0.6984,-0.324962727,6.0
