Metric,Value
R2 Score,0.7706319918531603
Adjusted R2 Score,0.7436475203064733
Mean Absolute Error,0.24605965117613474
Mean Squared Error,0.2044544986064769
Pearson Correlation,0.877989065468044
Spearman Correlation,0.9281682915600996
