Rater,Avg_Acc,Avg_Kappa,Num_Pairs
GT,0.333,-0.395,6
P1,0.760,0.510,5
P2,0.680,0.282,5
P3,0.600,0.227,5
P4,0.760,0.510,5
P5,0.360,-0.223,5
P6,0.600,0.140,5
