Rater,Avg_Acc,Avg_Kappa,Num_Pairs
GT,0.500,-0.115,6
P1,0.400,-0.005,5
P2,0.480,-0.050,5
P3,0.400,-0.240,5
P4,0.480,-0.050,5
P5,0.480,0.017,5
P6,0.480,0.000,5
