Rater,Avg_Acc,Avg_Kappa,Num_Pairs
GT,0.387,-0.079,6
P1,0.636,0.200,5
P2,0.000,0.000,5
P3,0.731,0.400,5
P4,0.629,0.191,5
P5,0.735,0.520,5
P6,0.664,0.271,5
