Rater,Avg_Acc,Avg_Kappa,Num_Pairs
GT,0.567,-0.076,6
P1,0.480,-0.223,5
P2,0.640,0.209,5
P3,0.480,-0.223,5
P4,0.640,0.209,5
P5,0.240,0.000,5
P6,0.560,0.073,5
