Metric,Value
R2 Score,-0.630776034464436
Adjusted R2 Score,-1.0715263140494184
Mean Absolute Error,1.5619751811027527
Mean Squared Error,3.8044362783187253
Pearson Correlation,0.2045225730701994
Spearman Correlation,0.20077621969327464
