N,mae,r2,rho,rs
1,5.070785785542539,-37.88059608529439,0.48771097716499534,0.47723852723956306
2,4.800311688177734,-29.31768481596645,0.5952397644177749,0.5986072040670861
3,4.696394606958348,-28.126641707157983,0.6697014895198959,0.6758368886679229
4,4.864861406282293,-31.367993947133424,0.6361033453979792,0.6342974387991099
5,4.958416644776587,-29.328889385072493,0.6290729982194193,0.627871509503904
6,4.799461301470026,-25.668739435456917,0.6115200542867624,0.6076194611076235
7,4.712079501627931,-27.795936461117254,0.6323118246030919,0.6191798638508804
8,4.820958832678067,-28.278782907545313,0.6562316466492054,0.6524557162829596
9,4.732179820128481,-26.757774933530783,0.6675489329699478,0.6554064301074094
10,4.700222238273971,-26.402565664993233,0.6653848765514014,0.6567610478837853
