N,Rater,mae,r2,rho,rs
1,1,5.2332309323686115,-3.801672887802124,0.4366744110784566,0.43833247534383285
1,2,5.430169079460356,-20.45426301956177,0.04862214798269094,0.0447558445671003
1,3,5.801060177716522,-39.04197196960449,0.03887234996422571,0.02550491237025613
1,4,4.8279343420601615,-4.789125156402588,0.1769610743891457,0.17250611764133694
1,5,6.409146315794514,-15.080665493011475,0.21099959354717202,0.2151697738328418
2,1,5.413076958333959,-3.502834105491638,0.4960660626623362,0.4906820823039645
2,2,5.05245536367732,-17.316465187072755,0.11870647048988744,0.09744711110051725
2,3,5.601851189375988,-29.596820259094237,0.020836286226499336,0.02119842661256633
2,4,4.807214338199368,-5.006379270553589,0.18511251772536683,0.18196646678661182
2,5,6.260864337807408,-12.031283950805664,0.21506014900752932,0.22589653852924804
3,1,5.1661924121635305,-3.163561201095581,0.4742307254324524,0.4934172210316195
3,2,5.054529707198393,-16.307429218292235,0.07601089436842778,0.04979270627887932
3,3,5.68149380100777,-29.771733474731445,0.027878479028895675,0.03973689740646233
3,4,4.275727807314192,-3.7817615032196046,0.23224952438217833,0.21374308945375722
3,5,6.243058302188862,-12.99791202545166,0.17958971623702707,0.17503036555352147
4,1,5.350093721161235,-3.367445945739746,0.505457130109479,0.4943101129489298
4,2,4.936527731548995,-16.59344663619995,0.11463685213715216,0.10554432557438964
4,3,5.582121017757727,-27.902869415283202,0.029147246358659763,0.02047621126558249
4,4,4.66460113676303,-4.120173597335816,0.2764695233891561,0.27307246107951333
4,5,6.260567496371056,-12.257713127136231,0.25800731440117214,0.26393730508381685
5,1,5.332551355032745,-3.2755472898483275,0.5118316599751677,0.5126558695685696
5,2,4.9787232939914166,-16.677172470092774,0.1124344060606743,0.08432676794093794
5,3,5.362897886567729,-27.092630767822264,0.06158403548216916,0.06267745693948232
5,4,4.473215456546417,-4.210735940933228,0.21702930661435116,0.18991961788132178
5,5,6.22898493788148,-12.81415252685547,0.24705093550180374,0.2349826355415539
6,1,5.4292841393196465,-3.487503695487976,0.534367023737381,0.5285473438104203
6,2,5.0102652398641325,-15.779028987884521,0.14302993855359036,0.12700186344644185
6,3,5.414101684051661,-26.430860137939455,0.06193096288511357,0.0649326926642215
6,4,4.407521386338132,-4.311086940765381,0.19297613095089833,0.18932826840545985
6,5,6.349759592484607,-12.36838903427124,0.2924574270239807,0.3024324143319864
7,1,5.6052797673194075,-3.6527379035949705,0.49570825447347566,0.48719933916329683
7,2,5.059392341121803,-16.780678462982177,0.10027126053688544,0.10542422190118186
7,3,5.223557679476786,-26.711005401611327,0.046806008886452546,0.05623908732162709
7,4,4.263618612815911,-3.7846811771392823,0.2623854358347866,0.2506683173249946
7,5,6.319241570390533,-12.176515197753906,0.27674162688679244,0.26911622930879864
8,1,5.267664690437366,-3.3167057991027833,0.5024510155704457,0.5143166481026029
8,2,4.980839051032552,-16.665813732147218,0.12078703562281254,0.11362807701657725
8,3,5.448133727128864,-29.789184379577637,0.0057868655931471134,-0.010944550520263979
8,4,4.347733080858479,-3.858986735343933,0.17979007968048372,0.16839547055749432
8,5,6.442268023533481,-13.541355323791503,0.2285859284378522,0.2124637045266899
9,1,5.605707542668572,-3.7284871101379395,0.5237723267235201,0.5214772848053955
9,2,4.939972340418216,-15.492833805084228,0.08913991355944154,0.0883235233048458
9,3,5.202304894467626,-26.246605491638185,0.06840484419657293,0.054627836668703814
9,4,4.56255432182961,-4.334997224807739,0.19055671391930135,0.18508251865953998
9,5,6.366733225320979,-13.38163137435913,0.2788318816271874,0.2736301812400283
10,1,5.563383907954,-3.5939388275146484,0.49806882255075935,0.4989595454909857
10,2,4.773487378358461,-14.197482776641845,0.12455380176591943,0.1013023632270696
10,3,5.325353142497491,-26.603140449523927,0.020455715398119186,0.009725537563807823
10,4,4.33273532181142,-3.824097180366516,0.22099417191101006,0.2076386848409261
10,5,6.265384443845524,-11.78788251876831,0.30743472054544824,0.3017673302801808
