Metric,Value
Adjusted R2 Score,0.5174250547643972
Mean Absolute Error,0.6459557208298575
Mean Squared Error,1.8593841153884725
Pearson Correlation,0.7586268562144273
Spearman Correlation,0.7694540677122388
