phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,1,140,20,79,280,40,790,26,6,0.5746835443037974,2.283581018447876,6.186319828033447,0.04909067569045489,0.2538417734685936,0.22413670645099165,0.15681218489632975
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,2,140,20,79,280,40,790,43,23,0.4810126582278481,2.3528506755828857,6.857641220092773,-0.117280198273233,-0.08307730025990168,-0.09507161195383156,-0.06794554098277257
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,3,140,20,79,280,40,790,25,2,0.5316455696202531,2.36037540435791,6.5072855949401855,-0.06213968200993936,0.028914040703966748,0.027888420610019848,0.027917601410287114
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,4,140,20,79,280,40,790,49,29,0.5354430379746835,2.3568060398101807,6.800164699554443,0.026296783429889392,0.17261789587973908,0.1064530588852533,0.06795608331400119
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,5,140,20,79,280,40,790,25,1,0.5164556962025316,2.271418809890747,6.452582836151123,-0.1640910671778253,0.08150706556625664,0.058680542731510785,0.040969295309571274
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,6,140,20,79,280,40,790,27,7,0.46582278481012657,2.594181776046753,8.183039665222168,-0.3935372562955557,-0.12596433116414119,-0.13275227073758045,-0.0983904136547677
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,7,140,20,79,280,40,790,25,3,0.5670886075949367,2.102471113204956,5.950660228729248,-0.0680453276767139,0.2147846805746667,0.21948469589484962,0.16123432329738369
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,8,140,20,79,280,40,790,31,11,0.5265822784810127,2.2843377590179443,6.207376480102539,-0.01579089304484138,0.030769057368161157,0.04126277767130913,0.029674779004314842
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,2,9,140,20,79,280,40,790,26,6,0.4531645569620253,2.3187005519866943,6.638624668121338,-0.0059156926766192885,-0.11394278692773696,-0.1161099205697496,-0.08809484310369833
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,liking,cross,2,hinge,3,0,140,20,79,420,60,790,25,1,0.4860759493670886,2.2401955127716064,5.960440635681152,-0.0015377388275323867,0.001006174225040013,0.007048316191591508,0.00880761480712056
