phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,0,140,20,79,0,0,790,25,5,0.6379746835443038,1.9736459255218506,5.24567174911499,0.045810540074980866,0.40103518693649676,0.3649968789538763,0.25642461450618037
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,1,140,20,79,0,0,790,46,26,0.6354430379746835,1.6831085681915283,4.156412601470947,0.1413951204885957,0.4052914380154107,0.34587775337806725,0.24285464828764203
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,2,140,20,79,0,0,790,35,15,0.6316455696202532,1.866377592086792,5.17045259475708,0.047949632271115594,0.3944772275262949,0.395753979129226,0.28464632144932206
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,3,140,20,79,0,0,790,75,55,0.6253164556962025,1.7877224683761597,4.707986831665039,0.09758764555365396,0.365298342287133,0.3502088565647045,0.2513643275832266
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,4,140,20,79,0,0,790,32,12,0.5911392405063292,2.0915415287017822,6.3197221755981445,0.016424222622527296,0.36362186034966726,0.2645248715096686,0.18871097808735027
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,5,140,20,79,0,0,790,53,33,0.6379746835443038,1.6547898054122925,4.01743745803833,0.21510052606090824,0.47102385731705,0.37951210313402656,0.2821600657704214
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,6,140,20,79,0,0,790,27,7,0.6531645569620254,1.8092632293701172,4.536242485046387,-0.0010143890277762857,0.41611884988378733,0.39128750539488605,0.2803704795444141
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,7,140,20,79,0,0,790,96,76,0.6784810126582278,1.7805873155593872,4.7659759521484375,0.233824712307933,0.4838232026161222,0.4004951452122838,0.29729507811675776
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,8,140,20,79,0,0,790,25,1,0.6367088607594936,1.9755215644836426,5.521630764007568,-0.08094416019601236,0.35856874960882124,0.33348816526179753,0.23688979735749935
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,abstract,beauty,cross,2,regression,,9,140,20,79,0,0,790,34,14,0.6987341772151898,1.7928625345230103,4.323617935180664,0.20194890274868615,0.5257474258414732,0.51822946508455,0.38809912306220645
