phase,method_id,dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,best_epoch,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,0,140,20,78,0,0,780,25,1,0.49230769230769234,1.7436562776565552,4.388172626495361,-1.8218627867343629,-0.09761079967938713,-0.041631026552384924,-0.034754478042554555
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,1,140,20,78,0,0,780,25,1,0.6012820512820513,2.5683059692382812,7.868577003479004,-4.941719400932562,0.2684498285088921,0.21994386063690718,0.16200981161129577
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,2,140,20,78,0,0,780,25,4,0.40384615384615385,0.9275997877120972,1.4312397241592407,-0.565844649685932,-0.15969868664979003,-0.18591845944646881,-0.13602371643389347
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,3,140,20,78,0,0,780,25,2,0.47692307692307695,1.196326494216919,2.2969627380371094,-0.877061431157524,-0.1409971631364897,-0.04672923038177526,-0.04065905659161598
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,4,140,20,78,0,0,780,35,15,0.45,0.9837641716003418,1.522096037864685,-0.08741583189895352,-0.13395675741776358,-0.1358381165899986,-0.09723383257434154
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,5,140,20,78,0,0,780,25,3,0.4666666666666667,0.8525407314300537,1.2861906290054321,-0.5526157975604715,-0.04008027478607801,-0.02614097506799101,-0.023548787725504956
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,6,140,20,78,0,0,780,25,2,0.5564102564102564,1.575369119644165,3.2190358638763428,-2.0125539777082433,0.060146513853396755,0.12407306703749536,0.0922180161582459
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,7,140,20,78,0,0,780,25,4,0.49230769230769234,1.14736008644104,2.075756788253784,-0.3931500839573896,-0.09290783084350096,-0.07149755149890655,-0.05368007637283057
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,8,140,20,78,0,0,780,37,17,0.5333333333333333,0.785785436630249,1.1134485006332397,-0.15266637623406654,-0.01304305197118083,0.04981096404623951,0.04790307385216012
locked_method_evaluation,shallow-mse-z-gelu-ln-rawclip,sidhu,clip-vit-b32,representational,liking,within,3,regression,,9,140,20,78,0,0,780,25,2,0.5846153846153846,0.8637420535087585,1.298106074333191,-0.2638307331129952,0.17573418820393272,0.14007895843355853,0.11527640872166335
